name,NO
2015-01-01 00:00:00,14.7430849389
2015-01-01 01:00:00,14.7430885711
2015-01-01 02:00:00,14.7430744409
2015-01-01 03:00:00,14.7430625049
2015-01-01 04:00:00,14.7430583757
2015-01-01 05:00:00,14.7430584564
2015-01-01 06:00:00,14.7430588711
2015-01-01 07:00:00,14.7430576417
2015-01-01 08:00:00,14.743051066
2015-01-01 09:00:00,14.7430479733
2015-01-01 10:00:00,14.7430466245
2015-01-01 11:00:00,14.7430520102
2015-01-01 12:00:00,14.7430701951
2015-01-01 13:00:00,14.7430737851
2015-01-01 14:00:00,14.7430805436
2015-01-01 15:00:00,14.7430814232
2015-01-01 16:00:00,14.7430718416
2015-01-01 17:00:00,14.7430637106
2015-01-01 18:00:00,14.7430580178
2015-01-01 19:00:00,14.7430503636
2015-01-01 20:00:00,14.7430448252
2015-01-01 21:00:00,14.7430369381
2015-01-01 22:00:00,14.7430273458
2015-01-01 23:00:00,14.7430180095
2015-01-02 00:00:00,14.7430093175
2015-01-02 01:00:00,14.7429929713
2015-01-02 02:00:00,14.7429772539
2015-01-02 03:00:00,14.7429676737
2015-01-02 04:00:00,14.7429719182
2015-01-02 05:00:00,14.7429853308
2015-01-02 06:00:00,14.7429908452
2015-01-02 07:00:00,14.742991481
2015-01-02 08:00:00,14.7429933435
2015-01-02 09:00:00,14.7429994655
2015-01-02 10:00:00,14.7430038084
2015-01-02 11:00:00,14.7430072136
2015-01-02 12:00:00,14.7430011904
2015-01-02 13:00:00,14.7429946057
2015-01-02 14:00:00,14.7429878542
2015-01-02 15:00:00,14.7430945005
2015-01-02 16:00:00,14.7430912242
2015-01-02 17:00:00,14.7430809161
2015-01-02 18:00:00,14.7430734723
2015-01-02 19:00:00,14.7430332438
2015-01-02 20:00:00,14.7430043831
2015-01-02 21:00:00,14.7429801777
2015-01-02 22:00:00,14.7429576788
2015-01-02 23:00:00,14.742937272
2015-01-03 00:00:00,14.7429205401
2015-01-03 01:00:00,14.7429217217
2015-01-03 02:00:00,14.7429342841
2015-01-03 03:00:00,14.7429463883
2015-01-03 04:00:00,14.7429782813
2015-01-03 05:00:00,14.7430216422
2015-01-03 06:00:00,14.7430983792
2015-01-03 07:00:00,14.7431672697
2015-01-03 08:00:00,14.7432548829
2015-01-03 09:00:00,14.7433552632
2015-01-03 10:00:00,14.7433680884
2015-01-03 11:00:00,14.7433648237
2015-01-03 12:00:00,14.7437715999
2015-01-03 13:00:00,14.7436299216
2015-01-03 14:00:00,14.7439798665
2015-01-03 15:00:00,14.7504787959
2015-01-03 16:00:00,15.3613344219
2015-01-03 17:00:00,14.7859645025
2015-01-03 18:00:00,14.7492416373
2015-01-03 19:00:00,14.7443542778
2015-01-03 20:00:00,14.7438682727
2015-01-03 21:00:00,14.7435497871
2015-01-03 22:00:00,14.7434892562
2015-01-03 23:00:00,14.7433891266
2015-01-04 00:00:00,14.7433942911
2015-01-04 01:00:00,14.743312769
2015-01-04 02:00:00,14.7432745829
2015-01-04 03:00:00,14.7433172889
2015-01-04 04:00:00,14.7433857123
2015-01-04 05:00:00,14.7434989352
2015-01-04 06:00:00,14.7435594362
2015-01-04 07:00:00,14.7437407028
2015-01-04 08:00:00,14.7441666119
2015-01-04 09:00:00,14.7444442569
2015-01-04 10:00:00,14.7438558355
2015-01-04 11:00:00,14.7436470266
2015-01-04 12:00:00,14.7435386217
2015-01-04 13:00:00,14.8349405405
2015-01-04 14:00:00,17.2289022668
2015-01-04 15:00:00,21.9110020852
2015-01-04 16:00:00,21.9453591179
2015-01-04 17:00:00,21.9876999899
2015-01-04 18:00:00,21.9825892474
2015-01-04 19:00:00,21.9481343631
2015-01-04 20:00:00,21.9574036315
2015-01-04 21:00:00,21.9626688432
2015-01-04 22:00:00,21.9604510224
2015-01-04 23:00:00,21.9454631461
2015-01-05 00:00:00,17.8671707
2015-01-05 01:00:00,17.8568949348
2015-01-05 02:00:00,17.8723092247
2015-01-05 03:00:00,20.7281932392
2015-01-05 04:00:00,53.7127985026
2015-01-05 05:00:00,66.0674738649
2015-01-05 06:00:00,66.1098076919
2015-01-05 07:00:00,71.183217113
2015-01-05 08:00:00,66.0894022067
2015-01-05 09:00:00,66.0852872992
2015-01-05 10:00:00,66.0850672797
2015-01-05 11:00:00,66.0846981928
2015-01-05 12:00:00,66.0879029316
2015-01-05 13:00:00,66.1256949349
2015-01-05 14:00:00,66.134514226
2015-01-05 15:00:00,66.1371770791
2015-01-05 16:00:00,66.1241376039
2015-01-05 17:00:00,66.1125266167
2015-01-05 18:00:00,66.1004223428
2015-01-05 19:00:00,66.0918154957
2015-01-05 20:00:00,66.0863222575
2015-01-05 21:00:00,66.0742144306
2015-01-05 22:00:00,34.0777009566
2015-01-05 23:00:00,14.751992249
2015-01-06 00:00:00,14.745682571
2015-01-06 01:00:00,14.7446670737
2015-01-06 02:00:00,14.7441676047
2015-01-06 03:00:00,14.7440823936
2015-01-06 04:00:00,14.7440462363
2015-01-06 05:00:00,14.7452272073
2015-01-06 06:00:00,19.6294867476
2015-01-06 07:00:00,19.6216709841
2015-01-06 08:00:00,14.7659386105
2015-01-06 09:00:00,14.7471214062
2015-01-06 10:00:00,14.7445634177
2015-01-06 11:00:00,14.7441516247
2015-01-06 12:00:00,14.7443462195
2015-01-06 13:00:00,14.743960823
2015-01-06 14:00:00,14.7440301624
2015-01-06 15:00:00,14.7439910134
2015-01-06 16:00:00,14.7436294759
2015-01-06 17:00:00,14.7434666516
2015-01-06 18:00:00,14.7434775662
2015-01-06 19:00:00,14.7433537495
2015-01-06 20:00:00,14.7433549076
2015-01-06 21:00:00,14.743317968
2015-01-06 22:00:00,14.74325195
2015-01-06 23:00:00,14.7432485763
2015-01-07 00:00:00,14.7432544303
2015-01-07 01:00:00,14.743275712
2015-01-07 02:00:00,14.7433183947
2015-01-07 03:00:00,14.7434163634
2015-01-07 04:00:00,14.7436179398
2015-01-07 05:00:00,14.7444723722
2015-01-07 06:00:00,19.6091768747
2015-01-07 07:00:00,28.5614358994
2015-01-07 08:00:00,34.1311884288
2015-01-07 09:00:00,14.7454782181
2015-01-07 10:00:00,14.7450046884
2015-01-07 11:00:00,14.7447066107
2015-01-07 12:00:00,14.7446372066
2015-01-07 13:00:00,14.7449105815
2015-01-07 14:00:00,14.7455870357
2015-01-07 15:00:00,14.7460136139
2015-01-07 16:00:00,14.7445117032
2015-01-07 17:00:00,14.7439470896
2015-01-07 18:00:00,14.7437076976
2015-01-07 19:00:00,14.7434496158
2015-01-07 20:00:00,14.7432006927
2015-01-07 21:00:00,14.7431588964
2015-01-07 22:00:00,14.7431283602
2015-01-07 23:00:00,14.743102891
2015-01-08 00:00:00,14.7430832265
2015-01-08 01:00:00,14.7430732965
2015-01-08 02:00:00,14.7430696541
2015-01-08 03:00:00,14.7430748098
2015-01-08 04:00:00,14.7430859452
2015-01-08 05:00:00,14.743119609
2015-01-08 06:00:00,14.7432055276
2015-01-08 07:00:00,14.7433362342
2015-01-08 08:00:00,14.7433666602
2015-01-08 09:00:00,14.7434407263
2015-01-08 10:00:00,14.7434142579
2015-01-08 11:00:00,14.7433799595
2015-01-08 12:00:00,14.7433527066
2015-01-08 13:00:00,14.7433528978
2015-01-08 14:00:00,14.7434096828
2015-01-08 15:00:00,14.7434565297
2015-01-08 16:00:00,14.743373503
2015-01-08 17:00:00,14.7446605109
2015-01-08 18:00:00,14.7451700795
2015-01-08 19:00:00,14.7440905186
2015-01-08 20:00:00,14.7433282959
2015-01-08 21:00:00,14.7433069107
2015-01-08 22:00:00,14.743289965
2015-01-08 23:00:00,14.7432835419
2015-01-09 00:00:00,14.743209202
2015-01-09 01:00:00,14.743228736
2015-01-09 02:00:00,14.7432551402
2015-01-09 03:00:00,14.7432822889
2015-01-09 04:00:00,14.7433290688
2015-01-09 05:00:00,14.7435266826
2015-01-09 06:00:00,14.7441790119
2015-01-09 07:00:00,14.7459512143
2015-01-09 08:00:00,14.7463496514
2015-01-09 09:00:00,14.7462054098
2015-01-09 10:00:00,14.7452954239
2015-01-09 11:00:00,14.7450609557
2015-01-09 12:00:00,14.744731642
2015-01-09 13:00:00,14.7444701215
2015-01-09 14:00:00,14.7448217908
2015-01-09 15:00:00,14.7470424927
2015-01-09 16:00:00,14.7515024323
2015-01-09 17:00:00,14.7543812066
2015-01-09 18:00:00,14.745900704
2015-01-09 19:00:00,14.7449312638
2015-01-09 20:00:00,14.7442812687
2015-01-09 21:00:00,14.743945496
2015-01-09 22:00:00,14.743648915
2015-01-09 23:00:00,14.7434938079
2015-01-10 00:00:00,14.7433883469
2015-01-10 01:00:00,14.7433063703
2015-01-10 02:00:00,14.7432048255
2015-01-10 03:00:00,14.743200236
2015-01-10 04:00:00,14.7431125059
2015-01-10 05:00:00,14.7431060235
2015-01-10 06:00:00,14.7430799681
2015-01-10 07:00:00,14.7430755325
2015-01-10 08:00:00,14.7430629473
2015-01-10 09:00:00,14.7430542792
2015-01-10 10:00:00,14.7430494493
2015-01-10 11:00:00,14.7430526166
2015-01-10 12:00:00,14.7430581775
2015-01-10 13:00:00,14.7430672942
2015-01-10 14:00:00,14.7430778417
2015-01-10 15:00:00,14.7430967906
2015-01-10 16:00:00,14.7431061032
2015-01-10 17:00:00,14.7431031916
