# Renewables.ninja Weather (Point API) - 47.700, 11.380 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "47.7", "lon": "11.38", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,22.531
2019-01-01 08:00,2019-01-01 09:00,85.458
2019-01-01 09:00,2019-01-01 10:00,167.191
2019-01-01 10:00,2019-01-01 11:00,211.953
2019-01-01 11:00,2019-01-01 12:00,204.104
2019-01-01 12:00,2019-01-01 13:00,215.409
2019-01-01 13:00,2019-01-01 14:00,182.316
2019-01-01 14:00,2019-01-01 15:00,79.193
2019-01-01 15:00,2019-01-01 16:00,4.561
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,9.503
2019-01-02 08:00,2019-01-02 09:00,41.548
2019-01-02 09:00,2019-01-02 10:00,75.363
2019-01-02 10:00,2019-01-02 11:00,140.792
2019-01-02 11:00,2019-01-02 12:00,152.633
2019-01-02 12:00,2019-01-02 13:00,124.812
2019-01-02 13:00,2019-01-02 14:00,64.969
2019-01-02 14:00,2019-01-02 15:00,26.962
2019-01-02 15:00,2019-01-02 16:00,1.507
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,16.864
2019-01-03 08:00,2019-01-03 09:00,71.543
2019-01-03 09:00,2019-01-03 10:00,153.669
2019-01-03 10:00,2019-01-03 11:00,214.224
2019-01-03 11:00,2019-01-03 12:00,210.812
2019-01-03 12:00,2019-01-03 13:00,182.338
2019-01-03 13:00,2019-01-03 14:00,121.241
2019-01-03 14:00,2019-01-03 15:00,54.559
2019-01-03 15:00,2019-01-03 16:00,3.002
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,7.380
2019-01-04 08:00,2019-01-04 09:00,32.458
2019-01-04 09:00,2019-01-04 10:00,68.631
2019-01-04 10:00,2019-01-04 11:00,87.595
2019-01-04 11:00,2019-01-04 12:00,97.991
2019-01-04 12:00,2019-01-04 13:00,80.894
2019-01-04 13:00,2019-01-04 14:00,58.855
2019-01-04 14:00,2019-01-04 15:00,24.043
2019-01-04 15:00,2019-01-04 16:00,1.520
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,9.089
2019-01-05 08:00,2019-01-05 09:00,31.445
2019-01-05 09:00,2019-01-05 10:00,51.530
2019-01-05 10:00,2019-01-05 11:00,70.298
2019-01-05 11:00,2019-01-05 12:00,96.838
2019-01-05 12:00,2019-01-05 13:00,88.820
2019-01-05 13:00,2019-01-05 14:00,56.520
2019-01-05 14:00,2019-01-05 15:00,23.376
