# Renewables.ninja Weather (Point API) - 53.210, 5.510 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Amsterdam, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "53.21", "lon": "5.51", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,0.020
2019-01-01 08:00,2019-01-01 09:00,23.559
2019-01-01 09:00,2019-01-01 10:00,107.409
2019-01-01 10:00,2019-01-01 11:00,175.722
2019-01-01 11:00,2019-01-01 12:00,196.952
2019-01-01 12:00,2019-01-01 13:00,176.648
2019-01-01 13:00,2019-01-01 14:00,120.342
2019-01-01 14:00,2019-01-01 15:00,43.465
2019-01-01 15:00,2019-01-01 16:00,1.448
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,0.088
2019-01-02 08:00,2019-01-02 09:00,36.253
2019-01-02 09:00,2019-01-02 10:00,112.742
2019-01-02 10:00,2019-01-02 11:00,171.411
2019-01-02 11:00,2019-01-02 12:00,194.113
2019-01-02 12:00,2019-01-02 13:00,181.478
2019-01-02 13:00,2019-01-02 14:00,130.110
2019-01-02 14:00,2019-01-02 15:00,54.924
2019-01-02 15:00,2019-01-02 16:00,2.331
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,0.079
2019-01-03 08:00,2019-01-03 09:00,23.745
2019-01-03 09:00,2019-01-03 10:00,74.035
2019-01-03 10:00,2019-01-03 11:00,109.742
2019-01-03 11:00,2019-01-03 12:00,136.636
2019-01-03 12:00,2019-01-03 13:00,119.947
2019-01-03 13:00,2019-01-03 14:00,91.073
2019-01-03 14:00,2019-01-03 15:00,39.803
2019-01-03 15:00,2019-01-03 16:00,1.902
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,0.094
2019-01-04 08:00,2019-01-04 09:00,20.759
2019-01-04 09:00,2019-01-04 10:00,59.546
2019-01-04 10:00,2019-01-04 11:00,78.160
2019-01-04 11:00,2019-01-04 12:00,74.438
2019-01-04 12:00,2019-01-04 13:00,58.970
2019-01-04 13:00,2019-01-04 14:00,45.743
2019-01-04 14:00,2019-01-04 15:00,16.958
2019-01-04 15:00,2019-01-04 16:00,1.019
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,0.096
2019-01-05 08:00,2019-01-05 09:00,18.371
2019-01-05 09:00,2019-01-05 10:00,49.360
2019-01-05 10:00,2019-01-05 11:00,61.103
2019-01-05 11:00,2019-01-05 12:00,51.286
2019-01-05 12:00,2019-01-05 13:00,29.495
2019-01-05 13:00,2019-01-05 14:00,17.157
