# Renewables.ninja Solar PV (Point API) - 51.120, 1.180 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.12", "lon": "1.18", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "38", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,8.301
2019-01-01 01:00,2019-01-01 01:00,0,0,0,8.296
2019-01-01 02:00,2019-01-01 02:00,0,0,0,8.141
2019-01-01 03:00,2019-01-01 03:00,0,0,0,7.921
2019-01-01 04:00,2019-01-01 04:00,0,0,0,7.780
2019-01-01 05:00,2019-01-01 05:00,0,0,0,7.769
2019-01-01 06:00,2019-01-01 06:00,0,0,0,7.856
2019-01-01 07:00,2019-01-01 07:00,0,0,0,7.991
2019-01-01 08:00,2019-01-01 08:00,2.959,0.002,0.009,8.177
2019-01-01 09:00,2019-01-01 09:00,23.072,0.004,0.034,8.506
2019-01-01 10:00,2019-01-01 10:00,37.295,0.005,0.050,8.859
2019-01-01 11:00,2019-01-01 11:00,38.652,0.004,0.052,9.183
2019-01-01 12:00,2019-01-01 12:00,48.186,0.006,0.061,9.494
2019-01-01 13:00,2019-01-01 13:00,75.275,0.019,0.077,9.817
2019-01-01 14:00,2019-01-01 14:00,80.133,0.039,0.063,9.929
2019-01-01 15:00,2019-01-01 15:00,20.393,0.019,0.016,9.437
2019-01-01 16:00,2019-01-01 16:00,0,0,0,8.516
2019-01-01 17:00,2019-01-01 17:00,0,0,0,7.882
2019-01-01 18:00,2019-01-01 18:00,0,0,0,7.339
