# Renewables.ninja Solar PV (Point API) - 52.770, 4.720 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Amsterdam, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "52.77", "lon": "4.72", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "39", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,8.566
2019-01-01 01:00,2019-01-01 02:00,0,0,0,8.629
2019-01-01 02:00,2019-01-01 03:00,0,0,0,8.661
2019-01-01 03:00,2019-01-01 04:00,0,0,0,8.701
2019-01-01 04:00,2019-01-01 05:00,0,0,0,8.732
2019-01-01 05:00,2019-01-01 06:00,0,0,0,8.764
2019-01-01 06:00,2019-01-01 07:00,0,0,0,8.816
2019-01-01 07:00,2019-01-01 08:00,0,0,0,8.834
2019-01-01 08:00,2019-01-01 09:00,12.220,0.008,0.016,8.721
2019-01-01 09:00,2019-01-01 10:00,184.471,0.145,0.066,8.510
2019-01-01 10:00,2019-01-01 11:00,404.066,0.379,0.074,8.439
2019-01-01 11:00,2019-01-01 12:00,459.660,0.440,0.077,8.392
2019-01-01 12:00,2019-01-01 13:00,418.026,0.391,0.078,8.368
2019-01-01 13:00,2019-01-01 14:00,296.500,0.261,0.070,8.294
2019-01-01 14:00,2019-01-01 15:00,98.313,0.077,0.043,8.045
2019-01-01 15:00,2019-01-01 16:00,0,0.002,0.003,7.684
2019-01-01 16:00,2019-01-01 17:00,0,0,0,7.466
2019-01-01 17:00,2019-01-01 18:00,0,0,0,7.239
2019-01-01 18:00,2019-01-01 19:00,0,0,0,7.032
2019-01-01 19:00,2019-01-01 20:00,0,0,0,6.863
2019-01-01 20:00,2019-01-01 21:00,0,0,0,6.759
2019-01-01 21:00,2019-01-01 22:00,0,0,0,6.671
2019-01-01 22:00,2019-01-01 23:00,0,0,0,6.706
2019-01-01 23:00,2019-01-02 00:00,0,0,0,6.797
2019-01-02 00:00,2019-01-02 01:00,0,0,0,6.822
2019-01-02 01:00,2019-01-02 02:00,0,0,0,6.729
2019-01-02 02:00,2019-01-02 03:00,0,0,0,6.680
2019-01-02 03:00,2019-01-02 04:00,0,0,0,6.649
2019-01-02 04:00,2019-01-02 05:00,0,0,0,6.637
2019-01-02 05:00,2019-01-02 06:00,0,0,0,6.595
2019-01-02 06:00,2019-01-02 07:00,0,0,0,6.515
2019-01-02 07:00,2019-01-02 08:00,0,0,0,6.408
2019-01-02 08:00,2019-01-02 09:00,64.163,0.058,0.026,6.513
2019-01-02 09:00,2019-01-02 10:00,219.877,0.184,0.063,6.923
2019-01-02 10:00,2019-01-02 11:00,337.827,0.294,0.082,7.180
2019-01-02 11:00,2019-01-02 12:00,377.011,0.331,0.089,7.284
