# Renewables.ninja Solar PV (Point API) - 53.570, 8.300 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "53.57", "lon": "8.3", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "39", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,6.574
2019-01-01 01:00,2019-01-01 02:00,0,0,0,6.739
2019-01-01 02:00,2019-01-01 03:00,0,0,0,6.870
2019-01-01 03:00,2019-01-01 04:00,0,0,0,6.867
2019-01-01 04:00,2019-01-01 05:00,0,0,0,6.924
2019-01-01 05:00,2019-01-01 06:00,0,0,0,7.124
2019-01-01 06:00,2019-01-01 07:00,0,0,0,7.325
2019-01-01 07:00,2019-01-01 08:00,0,0,0,7.007
2019-01-01 08:00,2019-01-01 09:00,12.156,0.006,0.018,6.552
2019-01-01 09:00,2019-01-01 10:00,63.502,0.026,0.056,6.646
2019-01-01 10:00,2019-01-01 11:00,144.840,0.079,0.088,6.943
2019-01-01 11:00,2019-01-01 12:00,172.055,0.100,0.097,7.137
2019-01-01 12:00,2019-01-01 13:00,137.084,0.073,0.086,7.009
2019-01-01 13:00,2019-01-01 14:00,69.738,0.032,0.057,6.603
2019-01-01 14:00,2019-01-01 15:00,14.776,0.008,0.019,6.137
2019-01-01 15:00,2019-01-01 16:00,0,0,0,5.753
2019-01-01 16:00,2019-01-01 17:00,0,0,0,5.435
2019-01-01 17:00,2019-01-01 18:00,0,0,0,5.094
2019-01-01 18:00,2019-01-01 19:00,0,0,0,4.970
2019-01-01 19:00,2019-01-01 20:00,0,0,0,5.192
2019-01-01 20:00,2019-01-01 21:00,0,0,0,5.640
2019-01-01 21:00,2019-01-01 22:00,0,0,0,6.013
2019-01-01 22:00,2019-01-01 23:00,0,0,0,6.041
2019-01-01 23:00,2019-01-02 00:00,0,0,0,5.767
2019-01-02 00:00,2019-01-02 01:00,0,0,0,5.431
2019-01-02 01:00,2019-01-02 02:00,0,0,0,5.197
2019-01-02 02:00,2019-01-02 03:00,0,0,0,4.923
2019-01-02 03:00,2019-01-02 04:00,0,0,0,4.699
2019-01-02 04:00,2019-01-02 05:00,0,0,0,4.525
2019-01-02 05:00,2019-01-02 06:00,0,0,0,4.380
2019-01-02 06:00,2019-01-02 07:00,0,0,0,4.227
2019-01-02 07:00,2019-01-02 08:00,0,0.001,0.001,4.047
2019-01-02 08:00,2019-01-02 09:00,145.664,0.138,0.029,4.077
2019-01-02 09:00,2019-01-02 10:00,340.891,0.327,0.048,4.492
2019-01-02 10:00,2019-01-02 11:00,455.628,0.452,0.054,4.923
2019-01-02 11:00,2019-01-02 12:00,486.163,0.488,0.056,5.158
2019-01-02 12:00,2019-01-02 13:00,436.201,0.429,0.055,5.111
2019-01-02 13:00,2019-01-02 14:00,308.089,0.291,0.048,4.732
2019-01-02 14:00,2019-01-02 15:00,103.222,0.096,0.026,3.688
2019-01-02 15:00,2019-01-02 16:00,0,0,0,2.135
2019-01-02 16:00,2019-01-02 17:00,0,0,0,1.544
2019-01-02 17:00,2019-01-02 18:00,0,0,0,1.189
2019-01-02 18:00,2019-01-02 19:00,0,0,0,0.952
2019-01-02 19:00,2019-01-02 20:00,0,0,0,0.817
2019-01-02 20:00,2019-01-02 21:00,0,0,0,1.097
2019-01-02 21:00,2019-01-02 22:00,0,0,0,1.579
2019-01-02 22:00,2019-01-02 23:00,0,0,0,1.804
2019-01-02 23:00,2019-01-03 00:00,0,0,0,2.050
2019-01-03 00:00,2019-01-03 01:00,0,0,0,2.275
2019-01-03 01:00,2019-01-03 02:00,0,0,0,2.261
2019-01-03 02:00,2019-01-03 03:00,0,0,0,2.276
2019-01-03 03:00,2019-01-03 04:00,0,0,0,2.221
2019-01-03 04:00,2019-01-03 05:00,0,0,0,2.391
2019-01-03 05:00,2019-01-03 06:00,0,0,0,2.169
2019-01-03 06:00,2019-01-03 07:00,0,0,0,2.289
2019-01-03 07:00,2019-01-03 08:00,0,0,0.001,2.189
2019-01-03 08:00,2019-01-03 09:00,71.266,0.057,0.031,2.367
2019-01-03 09:00,2019-01-03 10:00,182.372,0.139,0.065,3.594
2019-01-03 10:00,2019-01-03 11:00,263.869,0.206,0.084,4.231
2019-01-03 11:00,2019-01-03 12:00,229.863,0.163,0.092,4.418
