# Renewables.ninja Solar PV (Point API) - 54.750, -1.300 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "54.75", "lon": "-1.3", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "39", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,8.863
2019-01-01 01:00,2019-01-01 01:00,0,0,0,8.976
2019-01-01 02:00,2019-01-01 02:00,0,0,0,8.768
2019-01-01 03:00,2019-01-01 03:00,0,0,0,8.141
2019-01-01 04:00,2019-01-01 04:00,0,0,0,7.041
2019-01-01 05:00,2019-01-01 05:00,0,0,0,5.750
2019-01-01 06:00,2019-01-01 06:00,0,0,0,4.815
2019-01-01 07:00,2019-01-01 07:00,0,0,0,4.308
2019-01-01 08:00,2019-01-01 08:00,4.933,0.010,0.004,3.981
2019-01-01 09:00,2019-01-01 09:00,181.049,0.168,0.037,4.637
2019-01-01 10:00,2019-01-01 10:00,354.533,0.336,0.055,5.256
2019-01-01 11:00,2019-01-01 11:00,437.461,0.424,0.061,5.900
2019-01-01 12:00,2019-01-01 12:00,423.056,0.406,0.064,6.382
2019-01-01 13:00,2019-01-01 13:00,341.416,0.318,0.060,6.392
2019-01-01 14:00,2019-01-01 14:00,182.577,0.164,0.043,5.879
2019-01-01 15:00,2019-01-01 15:00,16.034,0.021,0.008,4.900
2019-01-01 16:00,2019-01-01 16:00,0,0,0,4.198
2019-01-01 17:00,2019-01-01 17:00,0,0,0,3.797
2019-01-01 18:00,2019-01-01 18:00,0,0,0,3.417
2019-01-01 19:00,2019-01-01 19:00,0,0,0,3.021
2019-01-01 20:00,2019-01-01 20:00,0,0,0,2.737
2019-01-01 21:00,2019-01-01 21:00,0,0,0,2.535
2019-01-01 22:00,2019-01-01 22:00,0,0,0,2.646
2019-01-01 23:00,2019-01-01 23:00,0,0,0,2.740
2019-01-02 00:00,2019-01-02 00:00,0,0,0,2.820
2019-01-02 01:00,2019-01-02 01:00,0,0,0,2.905
2019-01-02 02:00,2019-01-02 02:00,0,0,0,3.041
2019-01-02 03:00,2019-01-02 03:00,0,0,0,3.073
2019-01-02 04:00,2019-01-02 04:00,0,0,0,3.069
2019-01-02 05:00,2019-01-02 05:00,0,0,0,2.973
2019-01-02 06:00,2019-01-02 06:00,0,0,0,2.947
2019-01-02 07:00,2019-01-02 07:00,0,0,0,2.925
2019-01-02 08:00,2019-01-02 08:00,0.159,0.003,0.003,2.958
2019-01-02 09:00,2019-01-02 09:00,51.184,0.032,0.036,3.631
2019-01-02 10:00,2019-01-02 10:00,118.727,0.070,0.070,4.342
2019-01-02 11:00,2019-01-02 11:00,164.322,0.098,0.088,4.717
2019-01-02 12:00,2019-01-02 12:00,169.728,0.102,0.090,4.888
2019-01-02 13:00,2019-01-02 13:00,135.325,0.082,0.075,4.770
2019-01-02 14:00,2019-01-02 14:00,76.609,0.050,0.046,4.097
2019-01-02 15:00,2019-01-02 15:00,6.121,0.009,0.007,2.854
2019-01-02 16:00,2019-01-02 16:00,0,0,0,2.283
2019-01-02 17:00,2019-01-02 17:00,0,0,0,2.060
2019-01-02 18:00,2019-01-02 18:00,0,0,0,1.799
2019-01-02 19:00,2019-01-02 19:00,0,0,0,1.542
2019-01-02 20:00,2019-01-02 20:00,0,0,0,1.364
2019-01-02 21:00,2019-01-02 21:00,0,0,0,1.147
2019-01-02 22:00,2019-01-02 22:00,0,0,0,0.872
2019-01-02 23:00,2019-01-02 23:00,0,0,0,0.481
2019-01-03 00:00,2019-01-03 00:00,0,0,0,0.264
2019-01-03 01:00,2019-01-03 01:00,0,0,0,0.077
2019-01-03 02:00,2019-01-03 02:00,0,0,0,-0.062
2019-01-03 03:00,2019-01-03 03:00,0,0,0,-0.087
2019-01-03 04:00,2019-01-03 04:00,0,0,0,-0.026
2019-01-03 05:00,2019-01-03 05:00,0,0,0,0.148
2019-01-03 06:00,2019-01-03 06:00,0,0,0,0.388
2019-01-03 07:00,2019-01-03 07:00,0,0,0,0.532
2019-01-03 08:00,2019-01-03 08:00,6.253,0.012,0.004,0.527
2019-01-03 09:00,2019-01-03 09:00,168.694,0.150,0.038,0.921
2019-01-03 10:00,2019-01-03 10:00,330.606,0.300,0.059,1.941
2019-01-03 11:00,2019-01-03 11:00,421.597,0.394,0.065,2.618
2019-01-03 12:00,2019-01-03 12:00,434.704,0.410,0.065,2.927
