# Renewables.ninja Solar PV (Point API) - 54.780, 11.170 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "54.78", "lon": "11.17", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "40", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,6.635
2019-01-01 01:00,2019-01-01 02:00,0,0,0,6.852
2019-01-01 02:00,2019-01-01 03:00,0,0,0,6.946
2019-01-01 03:00,2019-01-01 04:00,0,0,0,7.060
2019-01-01 04:00,2019-01-01 05:00,0,0,0,7.198
2019-01-01 05:00,2019-01-01 06:00,0,0,0,7.232
2019-01-01 06:00,2019-01-01 07:00,0,0,0,6.720
2019-01-01 07:00,2019-01-01 08:00,0,0,0.001,6.075
2019-01-01 08:00,2019-01-01 09:00,31.921,0.021,0.027,5.980
2019-01-01 09:00,2019-01-01 10:00,89.400,0.049,0.061,6.163
2019-01-01 10:00,2019-01-01 11:00,173.255,0.111,0.086,6.396
2019-01-01 11:00,2019-01-01 12:00,217.762,0.154,0.091,6.506
2019-01-01 12:00,2019-01-01 13:00,203.858,0.150,0.080,6.301
2019-01-01 13:00,2019-01-01 14:00,90.179,0.060,0.051,5.765
2019-01-01 14:00,2019-01-01 15:00,9.986,0.011,0.010,5.363
2019-01-01 15:00,2019-01-01 16:00,0,0,0,5.002
2019-01-01 16:00,2019-01-01 17:00,0,0,0,4.582
2019-01-01 17:00,2019-01-01 18:00,0,0,0,4.351
2019-01-01 18:00,2019-01-01 19:00,0,0,0,4.396
2019-01-01 19:00,2019-01-01 20:00,0,0,0,4.815
2019-01-01 20:00,2019-01-01 21:00,0,0,0,5.265
2019-01-01 21:00,2019-01-01 22:00,0,0,0,5.409
2019-01-01 22:00,2019-01-01 23:00,0,0,0,5.081
2019-01-01 23:00,2019-01-02 00:00,0,0,0,4.681
2019-01-02 00:00,2019-01-02 01:00,0,0,0,4.440
2019-01-02 01:00,2019-01-02 02:00,0,0,0,4.332
2019-01-02 02:00,2019-01-02 03:00,0,0,0,4.191
2019-01-02 03:00,2019-01-02 04:00,0,0,0,4.056
2019-01-02 04:00,2019-01-02 05:00,0,0,0,3.985
2019-01-02 05:00,2019-01-02 06:00,0,0,0,3.844
2019-01-02 06:00,2019-01-02 07:00,0,0,0,3.694
2019-01-02 07:00,2019-01-02 08:00,0,0.003,0.001,3.567
2019-01-02 08:00,2019-01-02 09:00,159.936,0.150,0.031,3.573
2019-01-02 09:00,2019-01-02 10:00,366.562,0.351,0.049,3.778
2019-01-02 10:00,2019-01-02 11:00,481.383,0.477,0.055,3.918
2019-01-02 11:00,2019-01-02 12:00,504.352,0.503,0.055,3.952
2019-01-02 12:00,2019-01-02 13:00,430.216,0.419,0.053,3.906
2019-01-02 13:00,2019-01-02 14:00,262.547,0.245,0.044,3.812
2019-01-02 14:00,2019-01-02 15:00,59.021,0.064,0.013,3.533
2019-01-02 15:00,2019-01-02 16:00,0,0,0,3.202
2019-01-02 16:00,2019-01-02 17:00,0,0,0,2.921
2019-01-02 17:00,2019-01-02 18:00,0,0,0,2.438
2019-01-02 18:00,2019-01-02 19:00,0,0,0,1.992
2019-01-02 19:00,2019-01-02 20:00,0,0,0,1.716
2019-01-02 20:00,2019-01-02 21:00,0,0,0,1.541
2019-01-02 21:00,2019-01-02 22:00,0,0,0,1.402
2019-01-02 22:00,2019-01-02 23:00,0,0,0,1.275
2019-01-02 23:00,2019-01-03 00:00,0,0,0,1.172
2019-01-03 00:00,2019-01-03 01:00,0,0,0,1.133
2019-01-03 01:00,2019-01-03 02:00,0,0,0,1.090
2019-01-03 02:00,2019-01-03 03:00,0,0,0,1.046
2019-01-03 03:00,2019-01-03 04:00,0,0,0,1.028
2019-01-03 04:00,2019-01-03 05:00,0,0,0,1.026
2019-01-03 05:00,2019-01-03 06:00,0,0,0,1.019
2019-01-03 06:00,2019-01-03 07:00,0,0,0,1.022
2019-01-03 07:00,2019-01-03 08:00,0.228,0.004,0.002,1.002
2019-01-03 08:00,2019-01-03 09:00,157.847,0.144,0.034,1.555
2019-01-03 09:00,2019-01-03 10:00,257.804,0.219,0.062,2.389
2019-01-03 10:00,2019-01-03 11:00,298.205,0.245,0.080,2.935
2019-01-03 11:00,2019-01-03 12:00,281.771,0.222,0.087,3.335
2019-01-03 12:00,2019-01-03 13:00,152.543,0.097,0.076,3.449
2019-01-03 13:00,2019-01-03 14:00,84.156,0.053,0.050,3.189
2019-01-03 14:00,2019-01-03 15:00,12.538,0.013,0.011,2.632
2019-01-03 15:00,2019-01-03 16:00,0,0,0,2.334
2019-01-03 16:00,2019-01-03 17:00,0,0,0,2.152
2019-01-03 17:00,2019-01-03 18:00,0,0,0,1.926
2019-01-03 18:00,2019-01-03 19:00,0,0,0,1.540
2019-01-03 19:00,2019-01-03 20:00,0,0,0,1.439
2019-01-03 20:00,2019-01-03 21:00,0,0,0,1.508
2019-01-03 21:00,2019-01-03 22:00,0,0,0,1.658
2019-01-03 22:00,2019-01-03 23:00,0,0,0,1.934
2019-01-03 23:00,2019-01-04 00:00,0,0,0,2.333
2019-01-04 00:00,2019-01-04 01:00,0,0,0,2.786
2019-01-04 01:00,2019-01-04 02:00,0,0,0,3.125
2019-01-04 02:00,2019-01-04 03:00,0,0,0,3.293
2019-01-04 03:00,2019-01-04 04:00,0,0,0,3.498
2019-01-04 04:00,2019-01-04 05:00,0,0,0,3.510
2019-01-04 05:00,2019-01-04 06:00,0,0,0,3.598
2019-01-04 06:00,2019-01-04 07:00,0,0,0,3.714
2019-01-04 07:00,2019-01-04 08:00,0,0,0.001,3.797
2019-01-04 08:00,2019-01-04 09:00,6.301,0.002,0.014,3.916
2019-01-04 09:00,2019-01-04 10:00,29.616,0.007,0.038,4.078
2019-01-04 10:00,2019-01-04 11:00,133.720,0.066,0.089,4.431
2019-01-04 11:00,2019-01-04 12:00,162.886,0.090,0.095,4.773
2019-01-04 12:00,2019-01-04 13:00,118.917,0.060,0.080,5.004
2019-01-04 13:00,2019-01-04 14:00,54.036,0.025,0.047,5.040
2019-01-04 14:00,2019-01-04 15:00,4.940,0.005,0.009,4.783
2019-01-04 15:00,2019-01-04 16:00,0,0,0,4.951
2019-01-04 16:00,2019-01-04 17:00,0,0,0,5.349
2019-01-04 17:00,2019-01-04 18:00,0,0,0,5.567
2019-01-04 18:00,2019-01-04 19:00,0,0,0,5.717
2019-01-04 19:00,2019-01-04 20:00,0,0,0,5.787
2019-01-04 20:00,2019-01-04 21:00,0,0,0,5.802
2019-01-04 21:00,2019-01-04 22:00,0,0,0,5.856
2019-01-04 22:00,2019-01-04 23:00,0,0,0,5.921
2019-01-04 23:00,2019-01-05 00:00,0,0,0,5.983
2019-01-05 00:00,2019-01-05 01:00,0,0,0,6.027
2019-01-05 01:00,2019-01-05 02:00,0,0,0,6.027
2019-01-05 02:00,2019-01-05 03:00,0,0,0,5.998
2019-01-05 03:00,2019-01-05 04:00,0,0,0,5.943
2019-01-05 04:00,2019-01-05 05:00,0,0,0,5.737
2019-01-05 05:00,2019-01-05 06:00,0,0,0,5.561
2019-01-05 06:00,2019-01-05 07:00,0,0,0,5.414
2019-01-05 07:00,2019-01-05 08:00,0,0,0.001,5.266
2019-01-05 08:00,2019-01-05 09:00,12.278,0.005,0.019,5.197
2019-01-05 09:00,2019-01-05 10:00,56.405,0.021,0.053,5.247
2019-01-05 10:00,2019-01-05 11:00,146.980,0.082,0.087,5.397
2019-01-05 11:00,2019-01-05 12:00,224.401,0.157,0.094,5.642
2019-01-05 12:00,2019-01-05 13:00,241.957,0.188,0.081,5.916
2019-01-05 13:00,2019-01-05 14:00,145.017,0.112,0.056,5.792
2019-01-05 14:00,2019-01-05 15:00,28.626,0.029,0.015,4.965
2019-01-05 15:00,2019-01-05 16:00,0,0,0,4.413
2019-01-05 16:00,2019-01-05 17:00,0,0,0,4.040
2019-01-05 17:00,2019-01-05 18:00,0,0,0,3.583
2019-01-05 18:00,2019-01-05 19:00,0,0,0,3.200
2019-01-05 19:00,2019-01-05 20:00,0,0,0,2.977
2019-01-05 20:00,2019-01-05 21:00,0,0,0,2.815
2019-01-05 21:00,2019-01-05 22:00,0,0,0,2.651
2019-01-05 22:00,2019-01-05 23:00,0,0,0,2.384
2019-01-05 23:00,2019-01-06 00:00,0,0,0,2.097
2019-01-06 00:00,2019-01-06 01:00,0,0,0,1.779
2019-01-06 01:00,2019-01-06 02:00,0,0,0,1.516
2019-01-06 02:00,2019-01-06 03:00,0,0,0,1.434
2019-01-06 03:00,2019-01-06 04:00,0,0,0,1.284
2019-01-06 04:00,2019-01-06 05:00,0,0,0,1.088
2019-01-06 05:00,2019-01-06 06:00,0,0,0,0.906
2019-01-06 06:00,2019-01-06 07:00,0,0,0,0.797
2019-01-06 07:00,2019-01-06 08:00,0,0.001,0.001,0.792
2019-01-06 08:00,2019-01-06 09:00,18.474,0.008,0.024,0.965
2019-01-06 09:00,2019-01-06 10:00,53.682,0.017,0.054,1.322
2019-01-06 10:00,2019-01-06 11:00,87.269,0.028,0.077,1.713
2019-01-06 11:00,2019-01-06 12:00,91.064,0.028,0.081,2.037
2019-01-06 12:00,2019-01-06 13:00,55.111,0.013,0.059,2.313
2019-01-06 13:00,2019-01-06 14:00,23.332,0.005,0.032,2.590
2019-01-06 14:00,2019-01-06 15:00,0,0.001,0.004,2.788
2019-01-06 15:00,2019-01-06 16:00,0,0,0,3.112
2019-01-06 16:00,2019-01-06 17:00,0,0,0,3.432
2019-01-06 17:00,2019-01-06 18:00,0,0,0,3.711
2019-01-06 18:00,2019-01-06 19:00,0,0,0,3.848
2019-01-06 19:00,2019-01-06 20:00,0,0,0,3.972
2019-01-06 20:00,2019-01-06 21:00,0,0,0,4.104
2019-01-06 21:00,2019-01-06 22:00,0,0,0,4.259
2019-01-06 22:00,2019-01-06 23:00,0,0,0,4.345
2019-01-06 23:00,2019-01-07 00:00,0,0,0,4.399
2019-01-07 00:00,2019-01-07 01:00,0,0,0,4.436
2019-01-07 01:00,2019-01-07 02:00,0,0,0,4.497
2019-01-07 02:00,2019-01-07 03:00,0,0,0,4.607
2019-01-07 03:00,2019-01-07 04:00,0,0,0,4.683
2019-01-07 04:00,2019-01-07 05:00,0,0,0,4.712
2019-01-07 05:00,2019-01-07 06:00,0,0,0,4.765
2019-01-07 06:00,2019-01-07 07:00,0,0,0,4.755
2019-01-07 07:00,2019-01-07 08:00,0,0,0.001,4.712
2019-01-07 08:00,2019-01-07 09:00,7.020,0.002,0.015,4.685
2019-01-07 09:00,2019-01-07 10:00,30.308,0.006,0.040,4.640
2019-01-07 10:00,2019-01-07 11:00,56.068,0.012,0.062,4.574
2019-01-07 11:00,2019-01-07 12:00,75.029,0.019,0.075,4.610
2019-01-07 12:00,2019-01-07 13:00,57.004,0.014,0.061,4.604
2019-01-07 13:00,2019-01-07 14:00,25.629,0.006,0.034,4.533
2019-01-07 14:00,2019-01-07 15:00,2.118,0.002,0.008,4.426
2019-01-07 15:00,2019-01-07 16:00,0,0,0,4.640
2019-01-07 16:00,2019-01-07 17:00,0,0,0,5.135
2019-01-07 17:00,2019-01-07 18:00,0,0,0,5.464
2019-01-07 18:00,2019-01-07 19:00,0,0,0,5.504
2019-01-07 19:00,2019-01-07 20:00,0,0,0,5.481
2019-01-07 20:00,2019-01-07 21:00,0,0,0,5.631
2019-01-07 21:00,2019-01-07 22:00,0,0,0,6.069
2019-01-07 22:00,2019-01-07 23:00,0,0,0,6.148
2019-01-07 23:00,2019-01-08 00:00,0,0,0,5.894
2019-01-08 00:00,2019-01-08 01:00,0,0,0,5.584
2019-01-08 01:00,2019-01-08 02:00,0,0,0,5.270
2019-01-08 02:00,2019-01-08 03:00,0,0,0,5.140
2019-01-08 03:00,2019-01-08 04:00,0,0,0,5.308
2019-01-08 04:00,2019-01-08 05:00,0,0,0,5.449
2019-01-08 05:00,2019-01-08 06:00,0,0,0,5.346
2019-01-08 06:00,2019-01-08 07:00,0,0,0,5.398
2019-01-08 07:00,2019-01-08 08:00,0,0,0,5.791
2019-01-08 08:00,2019-01-08 09:00,0.543,0,0.006,5.666
2019-01-08 09:00,2019-01-08 10:00,6.205,0.001,0.015,5.480
2019-01-08 10:00,2019-01-08 11:00,25.194,0.003,0.037,5.182
2019-01-08 11:00,2019-01-08 12:00,63.499,0.014,0.068,4.613
2019-01-08 12:00,2019-01-08 13:00,153.474,0.083,0.092,4.094
2019-01-08 13:00,2019-01-08 14:00,86.640,0.046,0.060,3.790
2019-01-08 14:00,2019-01-08 15:00,2.415,0.002,0.008,3.460
2019-01-08 15:00,2019-01-08 16:00,0,0,0,3.196
2019-01-08 16:00,2019-01-08 17:00,0,0,0,3.027
2019-01-08 17:00,2019-01-08 18:00,0,0,0,2.912
2019-01-08 18:00,2019-01-08 19:00,0,0,0,2.939
2019-01-08 19:00,2019-01-08 20:00,0,0,0,3.039
2019-01-08 20:00,2019-01-08 21:00,0,0,0,3.092
2019-01-08 21:00,2019-01-08 22:00,0,0,0,3.088
2019-01-08 22:00,2019-01-08 23:00,0,0,0,3.049
2019-01-08 23:00,2019-01-09 00:00,0,0,0,2.936
2019-01-09 00:00,2019-01-09 01:00,0,0,0,2.806
2019-01-09 01:00,2019-01-09 02:00,0,0,0,2.727
2019-01-09 02:00,2019-01-09 03:00,0,0,0,2.696
2019-01-09 03:00,2019-01-09 04:00,0,0,0,2.667
2019-01-09 04:00,2019-01-09 05:00,0,0,0,2.578
2019-01-09 05:00,2019-01-09 06:00,0,0,0,2.460
2019-01-09 06:00,2019-01-09 07:00,0,0,0,2.375
2019-01-09 07:00,2019-01-09 08:00,0,0.002,0.002,2.303
2019-01-09 08:00,2019-01-09 09:00,58.982,0.042,0.035,2.357
2019-01-09 09:00,2019-01-09 10:00,171.785,0.122,0.071,2.540
2019-01-09 10:00,2019-01-09 11:00,284.372,0.223,0.087,2.728
2019-01-09 11:00,2019-01-09 12:00,325.013,0.266,0.088,2.845
2019-01-09 12:00,2019-01-09 13:00,287.489,0.236,0.078,2.854
2019-01-09 13:00,2019-01-09 14:00,169.905,0.134,0.057,2.704
2019-01-09 14:00,2019-01-09 15:00,38.802,0.037,0.017,2.304
2019-01-09 15:00,2019-01-09 16:00,0,0,0,1.846
2019-01-09 16:00,2019-01-09 17:00,0,0,0,1.584
2019-01-09 17:00,2019-01-09 18:00,0,0,0,1.325
2019-01-09 18:00,2019-01-09 19:00,0,0,0,1.035
2019-01-09 19:00,2019-01-09 20:00,0,0,0,0.747
2019-01-09 20:00,2019-01-09 21:00,0,0,0,0.471
2019-01-09 21:00,2019-01-09 22:00,0,0,0,0.269
2019-01-09 22:00,2019-01-09 23:00,0,0,0,0.118
2019-01-09 23:00,2019-01-10 00:00,0,0,0,0.027
2019-01-10 00:00,2019-01-10 01:00,0,0,0,-0.107
2019-01-10 01:00,2019-01-10 02:00,0,0,0,0.015
2019-01-10 02:00,2019-01-10 03:00,0,0,0,0.343
2019-01-10 03:00,2019-01-10 04:00,0,0,0,0.439
2019-01-10 04:00,2019-01-10 05:00,0,0,0,0.478
2019-01-10 05:00,2019-01-10 06:00,0,0,0,0.540
2019-01-10 06:00,2019-01-10 07:00,0,0,0,0.623
2019-01-10 07:00,2019-01-10 08:00,0,0.001,0.002,0.734
2019-01-10 08:00,2019-01-10 09:00,10.422,0.003,0.018,1.024
2019-01-10 09:00,2019-01-10 10:00,27.414,0.005,0.037,1.414
