# Renewables.ninja Solar PV (Point API) - 58.620, 5.840 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Oslo, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Oslo", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "58.62", "lon": "5.84", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "42", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,5.286
2019-01-01 01:00,2019-01-01 02:00,0,0,0,5.053
2019-01-01 02:00,2019-01-01 03:00,0,0,0,4.818
2019-01-01 03:00,2019-01-01 04:00,0,0,0,4.945
2019-01-01 04:00,2019-01-01 05:00,0,0,0,4.954
2019-01-01 05:00,2019-01-01 06:00,0,0,0,4.643
2019-01-01 06:00,2019-01-01 07:00,0,0,0,4.189
2019-01-01 07:00,2019-01-01 08:00,0,0,0,3.635
2019-01-01 08:00,2019-01-01 09:00,0,0.001,0.001,3.120
2019-01-01 09:00,2019-01-01 10:00,10.153,0.005,0.016,2.843
2019-01-01 10:00,2019-01-01 11:00,23.254,0.007,0.030,2.765
2019-01-01 11:00,2019-01-01 12:00,42.760,0.015,0.044,2.533
2019-01-01 12:00,2019-01-01 13:00,41.404,0.015,0.041,2.334
2019-01-01 13:00,2019-01-01 14:00,9.604,0.003,0.017,2.561
2019-01-01 14:00,2019-01-01 15:00,0,0.001,0.003,3.072
2019-01-01 15:00,2019-01-01 16:00,0,0,0,3.428
2019-01-01 16:00,2019-01-01 17:00,0,0,0,3.480
2019-01-01 17:00,2019-01-01 18:00,0,0,0,3.273
2019-01-01 18:00,2019-01-01 19:00,0,0,0,2.987
2019-01-01 19:00,2019-01-01 20:00,0,0,0,2.759
2019-01-01 20:00,2019-01-01 21:00,0,0,0,2.594
2019-01-01 21:00,2019-01-01 22:00,0,0,0,2.398
2019-01-01 22:00,2019-01-01 23:00,0,0,0,2.196
2019-01-01 23:00,2019-01-02 00:00,0,0,0,2.016
2019-01-02 00:00,2019-01-02 01:00,0,0,0,1.900
2019-01-02 01:00,2019-01-02 02:00,0,0,0,1.860
2019-01-02 02:00,2019-01-02 03:00,0,0,0,1.805
2019-01-02 03:00,2019-01-02 04:00,0,0,0,1.643
2019-01-02 04:00,2019-01-02 05:00,0,0,0,1.446
2019-01-02 05:00,2019-01-02 06:00,0,0,0,1.226
2019-01-02 06:00,2019-01-02 07:00,0,0,0,1.100
2019-01-02 07:00,2019-01-02 08:00,0,0,0,1.128
2019-01-02 08:00,2019-01-02 09:00,1.195,0.005,0.003,1.274
2019-01-02 09:00,2019-01-02 10:00,44.668,0.033,0.027,1.626
2019-01-02 10:00,2019-01-02 11:00,88.042,0.057,0.049,1.966
2019-01-02 11:00,2019-01-02 12:00,101.707,0.063,0.057,2.162
2019-01-02 12:00,2019-01-02 13:00,63.923,0.034,0.047,2.201
2019-01-02 13:00,2019-01-02 14:00,26.012,0.014,0.026,2.088
2019-01-02 14:00,2019-01-02 15:00,1.005,0.003,0.004,1.847
2019-01-02 15:00,2019-01-02 16:00,0,0,0,1.701
2019-01-02 16:00,2019-01-02 17:00,0,0,0,1.607
2019-01-02 17:00,2019-01-02 18:00,0,0,0,1.435
2019-01-02 18:00,2019-01-02 19:00,0,0,0,1.305
2019-01-02 19:00,2019-01-02 20:00,0,0,0,1.242
2019-01-02 20:00,2019-01-02 21:00,0,0,0,1.172
2019-01-02 21:00,2019-01-02 22:00,0,0,0,1.141
2019-01-02 22:00,2019-01-02 23:00,0,0,0,1.149
2019-01-02 23:00,2019-01-03 00:00,0,0,0,1.169
2019-01-03 00:00,2019-01-03 01:00,0,0,0,1.204
2019-01-03 01:00,2019-01-03 02:00,0,0,0,1.233
2019-01-03 02:00,2019-01-03 03:00,0,0,0,1.188
2019-01-03 03:00,2019-01-03 04:00,0,0,0,1.029
2019-01-03 04:00,2019-01-03 05:00,0,0,0,1.015
2019-01-03 05:00,2019-01-03 06:00,0,0,0,1.088
2019-01-03 06:00,2019-01-03 07:00,0,0,0,1.081
