# Renewables.ninja Wind (Point API) - 56.649, 8.972 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "56.6493", "lon": "8.9716", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "5000", "height": "110", "turbine": "Gamesa G128 5000", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,4818.783,16.574
2019-01-01 01:00,2019-01-01 02:00,4801.000,17.402
2019-01-01 02:00,2019-01-01 03:00,4762.875,18.104
2019-01-01 03:00,2019-01-01 04:00,4678.696,19.082
2019-01-01 04:00,2019-01-01 05:00,4559.480,20.074
2019-01-01 05:00,2019-01-01 06:00,4445.650,20.856
2019-01-01 06:00,2019-01-01 07:00,4421.100,21.010
2019-01-01 07:00,2019-01-01 08:00,4334.146,21.529
2019-01-01 08:00,2019-01-01 09:00,4277.814,21.845
2019-01-01 09:00,2019-01-01 10:00,4262.181,21.930
2019-01-01 10:00,2019-01-01 11:00,4271.214,21.881
2019-01-01 11:00,2019-01-01 12:00,4250.916,21.991
2019-01-01 12:00,2019-01-01 13:00,4218.404,22.157
2019-01-01 13:00,2019-01-01 14:00,4179.930,22.364
2019-01-01 14:00,2019-01-01 15:00,4236.170,22.065
2019-01-01 15:00,2019-01-01 16:00,4385.080,21.223
2019-01-01 16:00,2019-01-01 17:00,4560.488,20.064
2019-01-01 17:00,2019-01-01 18:00,4690.580,18.966
2019-01-01 18:00,2019-01-01 19:00,4758.777,18.169
2019-01-01 19:00,2019-01-01 20:00,4782.242,17.799
2019-01-01 20:00,2019-01-01 21:00,4798.305,17.474
2019-01-01 21:00,2019-01-01 22:00,4809.596,17.160
2019-01-01 22:00,2019-01-01 23:00,4815.130,16.924
2019-01-01 23:00,2019-01-02 00:00,4818.656,16.614
2019-01-02 00:00,2019-01-02 01:00,4812.758,16.047
2019-01-02 01:00,2019-01-02 02:00,4795.687,15.588
2019-01-02 02:00,2019-01-02 03:00,4768.769,15.156
2019-01-02 03:00,2019-01-02 04:00,4749.822,14.922
2019-01-02 04:00,2019-01-02 05:00,4691.073,14.386
2019-01-02 05:00,2019-01-02 06:00,4596.410,13.743
2019-01-02 06:00,2019-01-02 07:00,4451.663,13.033
2019-01-02 07:00,2019-01-02 08:00,4221.526,12.171
2019-01-02 08:00,2019-01-02 09:00,3994.647,11.519
2019-01-02 09:00,2019-01-02 10:00,3594.481,10.590
2019-01-02 10:00,2019-01-02 11:00,3162.336,9.766
2019-01-02 11:00,2019-01-02 12:00,2919.629,9.348
2019-01-02 12:00,2019-01-02 13:00,2724.106,9.023
2019-01-02 13:00,2019-01-02 14:00,2667.570,8.933
2019-01-02 14:00,2019-01-02 15:00,2591.906,8.811
2019-01-02 15:00,2019-01-02 16:00,2295.377,8.336
2019-01-02 16:00,2019-01-02 17:00,1825.452,7.584
2019-01-02 17:00,2019-01-02 18:00,1347.833,6.776
2019-01-02 18:00,2019-01-02 19:00,968.615,6.035
2019-01-02 19:00,2019-01-02 20:00,694.322,5.406
2019-01-02 20:00,2019-01-02 21:00,557.437,5.027
2019-01-02 21:00,2019-01-02 22:00,608.927,5.180
2019-01-02 22:00,2019-01-02 23:00,825.697,5.724
2019-01-02 23:00,2019-01-03 00:00,1122.049,6.346
2019-01-03 00:00,2019-01-03 01:00,1356.282,6.792
2019-01-03 01:00,2019-01-03 02:00,1411.718,6.885
2019-01-03 02:00,2019-01-03 03:00,1383.017,6.832
2019-01-03 03:00,2019-01-03 04:00,1305.675,6.696
2019-01-03 04:00,2019-01-03 05:00,1240.921,6.575
2019-01-03 05:00,2019-01-03 06:00,1217.816,6.536
2019-01-03 06:00,2019-01-03 07:00,1219.037,6.539
2019-01-03 07:00,2019-01-03 08:00,1204.979,6.512
2019-01-03 08:00,2019-01-03 09:00,1207.617,6.517
2019-01-03 09:00,2019-01-03 10:00,1241.935,6.576
2019-01-03 10:00,2019-01-03 11:00,1148.818,6.404
2019-01-03 11:00,2019-01-03 12:00,1070.480,6.245
2019-01-03 12:00,2019-01-03 13:00,1287.252,6.663
2019-01-03 13:00,2019-01-03 14:00,1740.357,7.450
2019-01-03 14:00,2019-01-03 15:00,2137.490,8.089
2019-01-03 15:00,2019-01-03 16:00,2263.723,8.282
2019-01-03 16:00,2019-01-03 17:00,2553.527,8.749
2019-01-03 17:00,2019-01-03 18:00,3124.879,9.693
2019-01-03 18:00,2019-01-03 19:00,3518.155,10.432
2019-01-03 19:00,2019-01-03 20:00,3690.400,10.794
2019-01-03 20:00,2019-01-03 21:00,3854.452,11.168
2019-01-03 21:00,2019-01-03 22:00,4036.260,11.632
2019-01-03 22:00,2019-01-03 23:00,4143.541,11.934
2019-01-03 23:00,2019-01-04 00:00,4170.533,12.014
2019-01-04 00:00,2019-01-04 01:00,4170.638,12.011
2019-01-04 01:00,2019-01-04 02:00,4182.706,12.058
2019-01-04 02:00,2019-01-04 03:00,4267.012,12.325
2019-01-04 03:00,2019-01-04 04:00,4195.616,12.099
2019-01-04 04:00,2019-01-04 05:00,4147.758,11.952
2019-01-04 05:00,2019-01-04 06:00,4148.045,11.952
2019-01-04 06:00,2019-01-04 07:00,4149.792,11.958
2019-01-04 07:00,2019-01-04 08:00,4109.337,11.838
2019-01-04 08:00,2019-01-04 09:00,4063.950,11.709
2019-01-04 09:00,2019-01-04 10:00,3976.505,11.472
2019-01-04 10:00,2019-01-04 11:00,4086.027,11.761
2019-01-04 11:00,2019-01-04 12:00,4296.074,12.420
2019-01-04 12:00,2019-01-04 13:00,4468.818,13.108
2019-01-04 13:00,2019-01-04 14:00,4580.570,13.651
2019-01-04 14:00,2019-01-04 15:00,4622.944,13.909
2019-01-04 15:00,2019-01-04 16:00,4676.521,14.274
2019-01-04 16:00,2019-01-04 17:00,4676.265,14.272
2019-01-04 17:00,2019-01-04 18:00,4677.875,14.284
2019-01-04 18:00,2019-01-04 19:00,4673.837,14.254
2019-01-04 19:00,2019-01-04 20:00,4676.388,14.273
2019-01-04 20:00,2019-01-04 21:00,4672.466,14.244
2019-01-04 21:00,2019-01-04 22:00,4686.173,14.344
2019-01-04 22:00,2019-01-04 23:00,4680.361,14.301
2019-01-04 23:00,2019-01-05 00:00,4663.559,14.169
2019-01-05 00:00,2019-01-05 01:00,4574.307,13.627
2019-01-05 01:00,2019-01-05 02:00,4511.948,13.307
2019-01-05 02:00,2019-01-05 03:00,4393.637,12.794
2019-01-05 03:00,2019-01-05 04:00,4149.436,11.957
2019-01-05 04:00,2019-01-05 05:00,3929.528,11.346
2019-01-05 05:00,2019-01-05 06:00,3697.519,10.810
2019-01-05 06:00,2019-01-05 07:00,3317.439,10.048
2019-01-05 07:00,2019-01-05 08:00,3008.177,9.489
2019-01-05 08:00,2019-01-05 09:00,2609.654,8.839
2019-01-05 09:00,2019-01-05 10:00,1804.732,7.556
2019-01-05 10:00,2019-01-05 11:00,943.721,5.977
2019-01-05 11:00,2019-01-05 12:00,419.097,4.597
2019-01-05 12:00,2019-01-05 13:00,247.779,3.894
2019-01-05 13:00,2019-01-05 14:00,216.668,3.747
2019-01-05 14:00,2019-01-05 15:00,247.155,3.891
2019-01-05 15:00,2019-01-05 16:00,307.209,4.171
2019-01-05 16:00,2019-01-05 17:00,338.890,4.300
2019-01-05 17:00,2019-01-05 18:00,336.780,4.283
2019-01-05 18:00,2019-01-05 19:00,308.456,4.176
2019-01-05 19:00,2019-01-05 20:00,273.350,4.021
2019-01-05 20:00,2019-01-05 21:00,244.546,3.879
2019-01-05 21:00,2019-01-05 22:00,226.983,3.800
2019-01-05 22:00,2019-01-05 23:00,214.769,3.737
2019-01-05 23:00,2019-01-06 00:00,201.497,3.666
2019-01-06 00:00,2019-01-06 01:00,186.622,3.582
2019-01-06 01:00,2019-01-06 02:00,180.565,3.547
2019-01-06 02:00,2019-01-06 03:00,213.440,3.730
2019-01-06 03:00,2019-01-06 04:00,284.890,4.074
2019-01-06 04:00,2019-01-06 05:00,366.510,4.398
2019-01-06 05:00,2019-01-06 06:00,447.388,4.693
2019-01-06 06:00,2019-01-06 07:00,540.515,4.984
2019-01-06 07:00,2019-01-06 08:00,689.489,5.394
2019-01-06 08:00,2019-01-06 09:00,945.287,5.990
2019-01-06 09:00,2019-01-06 10:00,1202.029,6.507
2019-01-06 10:00,2019-01-06 11:00,1320.062,6.723
2019-01-06 11:00,2019-01-06 12:00,1445.179,6.943
2019-01-06 12:00,2019-01-06 13:00,1760.464,7.482
2019-01-06 13:00,2019-01-06 14:00,2213.097,8.210
