# Renewables.ninja Wind (Point API) - 51.120, 1.180 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/London, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "51.12", "lon": "1.18", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7500", "height": "135", "turbine": "Enercon E126 7500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 00:00,2492.183,8.444
2019-01-01 01:00,2019-01-01 01:00,2671.487,8.667
2019-01-01 02:00,2019-01-01 02:00,2879.562,8.926
2019-01-01 03:00,2019-01-01 03:00,2937.085,8.995
2019-01-01 04:00,2019-01-01 04:00,2792.823,8.822
2019-01-01 05:00,2019-01-01 05:00,2809.645,8.844
2019-01-01 06:00,2019-01-01 06:00,2936.886,8.990
2019-01-01 07:00,2019-01-01 07:00,2986.496,9.052
2019-01-01 08:00,2019-01-01 08:00,3084.694,9.169
2019-01-01 09:00,2019-01-01 09:00,3277.062,9.403
2019-01-01 10:00,2019-01-01 10:00,3400.037,9.557
2019-01-01 11:00,2019-01-01 11:00,3450.180,9.618
2019-01-01 12:00,2019-01-01 12:00,3442.100,9.608
2019-01-01 13:00,2019-01-01 13:00,3427.102,9.585
2019-01-01 14:00,2019-01-01 14:00,3543.191,9.729
2019-01-01 15:00,2019-01-01 15:00,3903.821,10.163
2019-01-01 16:00,2019-01-01 16:00,4133.936,10.440
2019-01-01 17:00,2019-01-01 17:00,4233.775,10.573
2019-01-01 18:00,2019-01-01 18:00,4296.302,10.647
2019-01-01 19:00,2019-01-01 19:00,4521.510,10.944
2019-01-01 20:00,2019-01-01 20:00,4563.348,10.989
2019-01-01 21:00,2019-01-01 21:00,4514.384,10.935
2019-01-01 22:00,2019-01-01 22:00,4387.229,10.767
2019-01-01 23:00,2019-01-01 23:00,4181.366,10.509
2019-01-02 00:00,2019-01-02 00:00,4133.988,10.446
2019-01-02 01:00,2019-01-02 01:00,4228.915,10.569
2019-01-02 02:00,2019-01-02 02:00,4208.859,10.544
2019-01-02 03:00,2019-01-02 03:00,4061.530,10.353
2019-01-02 04:00,2019-01-02 04:00,3933.173,10.201
2019-01-02 05:00,2019-01-02 05:00,3874.376,10.130
2019-01-02 06:00,2019-01-02 06:00,3785.847,10.022
2019-01-02 07:00,2019-01-02 07:00,3635.003,9.832
2019-01-02 08:00,2019-01-02 08:00,3327.082,9.464
2019-01-02 09:00,2019-01-02 09:00,2827.591,8.866
2019-01-02 10:00,2019-01-02 10:00,2460.527,8.401
2019-01-02 11:00,2019-01-02 11:00,2366.640,8.280
2019-01-02 12:00,2019-01-02 12:00,2349.938,8.259
2019-01-02 13:00,2019-01-02 13:00,2350.658,8.260
2019-01-02 14:00,2019-01-02 14:00,2392.728,8.317
2019-01-02 15:00,2019-01-02 15:00,2588.205,8.565
2019-01-02 16:00,2019-01-02 16:00,2690.418,8.689
2019-01-02 17:00,2019-01-02 17:00,2603.768,8.589
2019-01-02 18:00,2019-01-02 18:00,2428.535,8.369
2019-01-02 19:00,2019-01-02 19:00,2237.071,8.116
2019-01-02 20:00,2019-01-02 20:00,2073.840,7.897
2019-01-02 21:00,2019-01-02 21:00,1998.291,7.800
2019-01-02 22:00,2019-01-02 22:00,1984.875,7.776
2019-01-02 23:00,2019-01-02 23:00,1928.269,7.702
