# Renewables.ninja Wind (Point API) - 52.770, 4.720 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Amsterdam, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Amsterdam", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "52.77", "lon": "4.72", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7500", "height": "135", "turbine": "Enercon E126 7500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,5731.986,12.748
2019-01-01 01:00,2019-01-01 02:00,5870.578,13.000
2019-01-01 02:00,2019-01-01 03:00,6026.298,13.298
2019-01-01 03:00,2019-01-01 04:00,6353.856,13.999
2019-01-01 04:00,2019-01-01 05:00,6422.146,14.162
2019-01-01 05:00,2019-01-01 06:00,6390.223,14.078
2019-01-01 06:00,2019-01-01 07:00,6282.216,13.828
2019-01-01 07:00,2019-01-01 08:00,6057.631,13.359
2019-01-01 08:00,2019-01-01 09:00,5843.414,12.950
2019-01-01 09:00,2019-01-01 10:00,5384.528,12.166
2019-01-01 10:00,2019-01-01 11:00,5273.188,11.991
2019-01-01 11:00,2019-01-01 12:00,5500.357,12.349
2019-01-01 12:00,2019-01-01 13:00,5782.758,12.837
2019-01-01 13:00,2019-01-01 14:00,6188.741,13.631
2019-01-01 14:00,2019-01-01 15:00,6601.965,14.632
2019-01-01 15:00,2019-01-01 16:00,6927.218,15.702
2019-01-01 16:00,2019-01-01 17:00,7032.516,16.160
2019-01-01 17:00,2019-01-01 18:00,7074.561,16.366
2019-01-01 18:00,2019-01-01 19:00,7062.021,16.303
2019-01-01 19:00,2019-01-01 20:00,7025.164,16.125
2019-01-01 20:00,2019-01-01 21:00,6933.135,15.725
2019-01-01 21:00,2019-01-01 22:00,6893.321,15.565
2019-01-01 22:00,2019-01-01 23:00,6907.960,15.618
2019-01-01 23:00,2019-01-02 00:00,6916.715,15.655
2019-01-02 00:00,2019-01-02 01:00,6916.625,15.660
2019-01-02 01:00,2019-01-02 02:00,6880.035,15.513
2019-01-02 02:00,2019-01-02 03:00,6814.820,15.279
2019-01-02 03:00,2019-01-02 04:00,6724.758,14.987
2019-01-02 04:00,2019-01-02 05:00,6594.154,14.600
2019-01-02 05:00,2019-01-02 06:00,6464.013,14.267
2019-01-02 06:00,2019-01-02 07:00,6333.136,13.951
2019-01-02 07:00,2019-01-02 08:00,6116.439,13.480
2019-01-02 08:00,2019-01-02 09:00,5889.792,13.036
2019-01-02 09:00,2019-01-02 10:00,5619.512,12.556
2019-01-02 10:00,2019-01-02 11:00,5175.859,11.854
2019-01-02 11:00,2019-01-02 12:00,4938.261,11.504
2019-01-02 12:00,2019-01-02 13:00,4602.268,11.050
2019-01-02 13:00,2019-01-02 14:00,4335.498,10.704
2019-01-02 14:00,2019-01-02 15:00,4245.734,10.581
2019-01-02 15:00,2019-01-02 16:00,4123.846,10.434
2019-01-02 16:00,2019-01-02 17:00,3824.133,10.069
2019-01-02 17:00,2019-01-02 18:00,3464.672,9.635
2019-01-02 18:00,2019-01-02 19:00,3160.662,9.269
2019-01-02 19:00,2019-01-02 20:00,2980.736,9.046
2019-01-02 20:00,2019-01-02 21:00,2937.115,8.996
2019-01-02 21:00,2019-01-02 22:00,2953.575,9.016
2019-01-02 22:00,2019-01-02 23:00,3002.729,9.079
2019-01-02 23:00,2019-01-03 00:00,3051.336,9.138
2019-01-03 00:00,2019-01-03 01:00,3048.456,9.135
2019-01-03 01:00,2019-01-03 02:00,3037.740,9.122
2019-01-03 02:00,2019-01-03 03:00,3069.203,9.151
2019-01-03 03:00,2019-01-03 04:00,3165.280,9.276
2019-01-03 04:00,2019-01-03 05:00,3277.290,9.410
2019-01-03 05:00,2019-01-03 06:00,3242.909,9.369
2019-01-03 06:00,2019-01-03 07:00,3229.745,9.353
2019-01-03 07:00,2019-01-03 08:00,3235.460,9.360
2019-01-03 08:00,2019-01-03 09:00,3168.780,9.280
2019-01-03 09:00,2019-01-03 10:00,2830.280,8.870
2019-01-03 10:00,2019-01-03 11:00,2505.543,8.467
2019-01-03 11:00,2019-01-03 12:00,2464.194,8.412
2019-01-03 12:00,2019-01-03 13:00,2421.404,8.355
2019-01-03 13:00,2019-01-03 14:00,2306.589,8.212
2019-01-03 14:00,2019-01-03 15:00,2382.451,8.307
2019-01-03 15:00,2019-01-03 16:00,2613.835,8.603
2019-01-03 16:00,2019-01-03 17:00,2708.263,8.713
2019-01-03 17:00,2019-01-03 18:00,2675.922,8.672
2019-01-03 18:00,2019-01-03 19:00,2319.993,8.229
2019-01-03 19:00,2019-01-03 20:00,1924.948,7.698
2019-01-03 20:00,2019-01-03 21:00,1976.668,7.767
