# Renewables.ninja Wind (Point API) - 53.570, 8.300 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "53.57", "lon": "8.3", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7500", "height": "135", "turbine": "Enercon E126 7500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,4917.331,11.480
2019-01-01 01:00,2019-01-01 02:00,5226.815,11.929
2019-01-01 02:00,2019-01-01 03:00,5308.116,12.054
2019-01-01 03:00,2019-01-01 04:00,5300.344,12.042
2019-01-01 04:00,2019-01-01 05:00,5601.603,12.526
2019-01-01 05:00,2019-01-01 06:00,5662.369,12.629
2019-01-01 06:00,2019-01-01 07:00,5720.052,12.729
2019-01-01 07:00,2019-01-01 08:00,5925.240,13.102
2019-01-01 08:00,2019-01-01 09:00,5925.135,13.102
2019-01-01 09:00,2019-01-01 10:00,5805.597,12.881
2019-01-01 10:00,2019-01-01 11:00,5754.181,12.789
2019-01-01 11:00,2019-01-01 12:00,5881.423,13.018
2019-01-01 12:00,2019-01-01 13:00,6235.681,13.731
2019-01-01 13:00,2019-01-01 14:00,6396.948,14.102
2019-01-01 14:00,2019-01-01 15:00,6547.437,14.484
2019-01-01 15:00,2019-01-01 16:00,6751.052,15.073
2019-01-01 16:00,2019-01-01 17:00,6874.508,15.500
2019-01-01 17:00,2019-01-01 18:00,6849.873,15.403
2019-01-01 18:00,2019-01-01 19:00,6874.574,15.497
2019-01-01 19:00,2019-01-01 20:00,6945.381,15.775
2019-01-01 20:00,2019-01-01 21:00,6960.031,15.828
2019-01-01 21:00,2019-01-01 22:00,6971.273,15.883
2019-01-01 22:00,2019-01-01 23:00,6966.492,15.863
2019-01-01 23:00,2019-01-02 00:00,6874.611,15.495
2019-01-02 00:00,2019-01-02 01:00,6715.985,14.958
2019-01-02 01:00,2019-01-02 02:00,6567.378,14.537
2019-01-02 02:00,2019-01-02 03:00,6292.953,13.860
2019-01-02 03:00,2019-01-02 04:00,6047.823,13.334
2019-01-02 04:00,2019-01-02 05:00,5796.294,12.864
2019-01-02 05:00,2019-01-02 06:00,5544.025,12.427
2019-01-02 06:00,2019-01-02 07:00,5376.307,12.156
2019-01-02 07:00,2019-01-02 08:00,5419.533,12.229
2019-01-02 08:00,2019-01-02 09:00,4969.079,11.553
2019-01-02 09:00,2019-01-02 10:00,4305.157,10.665
2019-01-02 10:00,2019-01-02 11:00,3898.853,10.160
2019-01-02 11:00,2019-01-02 12:00,3742.619,9.963
2019-01-02 12:00,2019-01-02 13:00,3485.383,9.653
2019-01-02 13:00,2019-01-02 14:00,3110.320,9.209
2019-01-02 14:00,2019-01-02 15:00,2834.207,8.874
2019-01-02 15:00,2019-01-02 16:00,2572.785,8.546
2019-01-02 16:00,2019-01-02 17:00,2136.923,7.984
2019-01-02 17:00,2019-01-02 18:00,1780.082,7.485
2019-01-02 18:00,2019-01-02 19:00,1516.395,7.088
2019-01-02 19:00,2019-01-02 20:00,1380.635,6.865
2019-01-02 20:00,2019-01-02 21:00,1363.212,6.832
2019-01-02 21:00,2019-01-02 22:00,1363.216,6.832
2019-01-02 22:00,2019-01-02 23:00,1399.165,6.894
2019-01-02 23:00,2019-01-03 00:00,1445.232,6.975
2019-01-03 00:00,2019-01-03 01:00,1527.667,7.099
2019-01-03 01:00,2019-01-03 02:00,1618.884,7.245
2019-01-03 02:00,2019-01-03 03:00,1690.447,7.349
2019-01-03 03:00,2019-01-03 04:00,1727.805,7.412
2019-01-03 04:00,2019-01-03 05:00,1752.301,7.447
2019-01-03 05:00,2019-01-03 06:00,1771.273,7.478
2019-01-03 06:00,2019-01-03 07:00,1705.116,7.380
2019-01-03 07:00,2019-01-03 08:00,1558.532,7.147
2019-01-03 08:00,2019-01-03 09:00,1335.790,6.793
2019-01-03 09:00,2019-01-03 10:00,1078.768,6.324
2019-01-03 10:00,2019-01-03 11:00,880.043,5.918
2019-01-03 11:00,2019-01-03 12:00,968.347,6.098
2019-01-03 12:00,2019-01-03 13:00,931.845,6.025
2019-01-03 13:00,2019-01-03 14:00,916.797,5.998
2019-01-03 14:00,2019-01-03 15:00,1090.705,6.345
2019-01-03 15:00,2019-01-03 16:00,1173.787,6.506
2019-01-03 16:00,2019-01-03 17:00,1095.699,6.353
2019-01-03 17:00,2019-01-03 18:00,903.756,5.961
2019-01-03 18:00,2019-01-03 19:00,634.285,5.317
2019-01-03 19:00,2019-01-03 20:00,668.688,5.416
2019-01-03 20:00,2019-01-03 21:00,864.220,5.884
2019-01-03 21:00,2019-01-03 22:00,975.165,6.120
2019-01-03 22:00,2019-01-03 23:00,1027.766,6.224
2019-01-03 23:00,2019-01-04 00:00,1192.703,6.541
2019-01-04 00:00,2019-01-04 01:00,1565.062,7.163
2019-01-04 01:00,2019-01-04 02:00,2008.163,7.813
2019-01-04 02:00,2019-01-04 03:00,2348.908,8.259
2019-01-04 03:00,2019-01-04 04:00,2748.961,8.768
2019-01-04 04:00,2019-01-04 05:00,3039.249,9.124
2019-01-04 05:00,2019-01-04 06:00,3177.492,9.290
2019-01-04 06:00,2019-01-04 07:00,3380.008,9.533
2019-01-04 07:00,2019-01-04 08:00,3502.014,9.671
2019-01-04 08:00,2019-01-04 09:00,3327.072,9.464
2019-01-04 09:00,2019-01-04 10:00,3199.563,9.317
2019-01-04 10:00,2019-01-04 11:00,3151.864,9.255
2019-01-04 11:00,2019-01-04 12:00,3192.273,9.308
2019-01-04 12:00,2019-01-04 13:00,3234.628,9.359
2019-01-04 13:00,2019-01-04 14:00,3277.039,9.401
2019-01-04 14:00,2019-01-04 15:00,3252.871,9.381
2019-01-04 15:00,2019-01-04 16:00,3277.998,9.410
2019-01-04 16:00,2019-01-04 17:00,3339.861,9.483
2019-01-04 17:00,2019-01-04 18:00,3329.093,9.472
2019-01-04 18:00,2019-01-04 19:00,3320.921,9.456
2019-01-04 19:00,2019-01-04 20:00,3452.634,9.621
2019-01-04 20:00,2019-01-04 21:00,4101.860,10.402
2019-01-04 21:00,2019-01-04 22:00,4400.892,10.788
2019-01-04 22:00,2019-01-04 23:00,4630.873,11.079
2019-01-04 23:00,2019-01-05 00:00,4944.674,11.509
2019-01-05 00:00,2019-01-05 01:00,5240.283,11.942
2019-01-05 01:00,2019-01-05 02:00,5586.154,12.497
2019-01-05 02:00,2019-01-05 03:00,5775.178,12.823
2019-01-05 03:00,2019-01-05 04:00,5881.473,13.016
2019-01-05 04:00,2019-01-05 05:00,5844.563,12.952
2019-01-05 05:00,2019-01-05 06:00,5747.148,12.777
2019-01-05 06:00,2019-01-05 07:00,5580.740,12.485
2019-01-05 07:00,2019-01-05 08:00,5309.139,12.056
2019-01-05 08:00,2019-01-05 09:00,5012.834,11.615
2019-01-05 09:00,2019-01-05 10:00,4387.196,10.769
2019-01-05 10:00,2019-01-05 11:00,3924.919,10.186
2019-01-05 11:00,2019-01-05 12:00,3602.506,9.801
2019-01-05 12:00,2019-01-05 13:00,3219.863,9.341
2019-01-05 13:00,2019-01-05 14:00,2879.551,8.925
2019-01-05 14:00,2019-01-05 15:00,2805.797,8.832
2019-01-05 15:00,2019-01-05 16:00,2625.255,8.617
2019-01-05 16:00,2019-01-05 17:00,2333.148,8.238
2019-01-05 17:00,2019-01-05 18:00,1938.989,7.717
2019-01-05 18:00,2019-01-05 19:00,1738.759,7.428
2019-01-05 19:00,2019-01-05 20:00,1778.669,7.484
2019-01-05 20:00,2019-01-05 21:00,1516.323,7.086
2019-01-05 21:00,2019-01-05 22:00,1367.886,6.844
2019-01-05 22:00,2019-01-05 23:00,1325.577,6.775
2019-01-05 23:00,2019-01-06 00:00,1528.843,7.104
2019-01-06 00:00,2019-01-06 01:00,1738.587,7.424
2019-01-06 01:00,2019-01-06 02:00,1764.771,7.468
2019-01-06 02:00,2019-01-06 03:00,1858.335,7.597
2019-01-06 03:00,2019-01-06 04:00,1848.844,7.587
2019-01-06 04:00,2019-01-06 05:00,1888.985,7.639
2019-01-06 05:00,2019-01-06 06:00,1897.225,7.649
2019-01-06 06:00,2019-01-06 07:00,1839.223,7.573
2019-01-06 07:00,2019-01-06 08:00,1814.059,7.537
2019-01-06 08:00,2019-01-06 09:00,1814.576,7.541
2019-01-06 09:00,2019-01-06 10:00,1691.589,7.356
2019-01-06 10:00,2019-01-06 11:00,1460.681,7.000
2019-01-06 11:00,2019-01-06 12:00,1496.377,7.058
2019-01-06 12:00,2019-01-06 13:00,1618.832,7.244
2019-01-06 13:00,2019-01-06 14:00,1715.527,7.388
2019-01-06 14:00,2019-01-06 15:00,1976.650,7.766
2019-01-06 15:00,2019-01-06 16:00,2103.612,7.943
2019-01-06 16:00,2019-01-06 17:00,2027.432,7.836
2019-01-06 17:00,2019-01-06 18:00,2030.477,7.842
2019-01-06 18:00,2019-01-06 19:00,1879.146,7.632
2019-01-06 19:00,2019-01-06 20:00,1835.099,7.570
2019-01-06 20:00,2019-01-06 21:00,1881.033,7.633
2019-01-06 21:00,2019-01-06 22:00,1995.696,7.796
2019-01-06 22:00,2019-01-06 23:00,1870.378,7.615
2019-01-06 23:00,2019-01-07 00:00,1942.137,7.722
2019-01-07 00:00,2019-01-07 01:00,2189.606,8.049
2019-01-07 01:00,2019-01-07 02:00,2476.587,8.430
2019-01-07 02:00,2019-01-07 03:00,2616.416,8.606
2019-01-07 03:00,2019-01-07 04:00,2429.638,8.370
2019-01-07 04:00,2019-01-07 05:00,2145.634,7.996
2019-01-07 05:00,2019-01-07 06:00,1976.767,7.769
2019-01-07 06:00,2019-01-07 07:00,1862.915,7.609
2019-01-07 07:00,2019-01-07 08:00,1770.770,7.477
2019-01-07 08:00,2019-01-07 09:00,1791.780,7.504
2019-01-07 09:00,2019-01-07 10:00,1738.459,7.421
2019-01-07 10:00,2019-01-07 11:00,1673.621,7.327
2019-01-07 11:00,2019-01-07 12:00,1887.921,7.638
2019-01-07 12:00,2019-01-07 13:00,2347.666,8.258
2019-01-07 13:00,2019-01-07 14:00,2531.803,8.494
2019-01-07 14:00,2019-01-07 15:00,3446.279,9.613
2019-01-07 15:00,2019-01-07 16:00,3535.129,9.710
2019-01-07 16:00,2019-01-07 17:00,3784.690,10.021
2019-01-07 17:00,2019-01-07 18:00,4387.191,10.770
2019-01-07 18:00,2019-01-07 19:00,4995.866,11.590
2019-01-07 19:00,2019-01-07 20:00,5343.814,12.109
2019-01-07 20:00,2019-01-07 21:00,5755.324,12.791
2019-01-07 21:00,2019-01-07 22:00,5615.428,12.549
2019-01-07 22:00,2019-01-07 23:00,5718.805,12.727
2019-01-07 23:00,2019-01-08 00:00,5727.281,12.736
2019-01-08 00:00,2019-01-08 01:00,6006.632,13.259
2019-01-08 01:00,2019-01-08 02:00,6341.724,13.972
2019-01-08 02:00,2019-01-08 03:00,6623.334,14.686
2019-01-08 03:00,2019-01-08 04:00,6831.787,15.347
2019-01-08 04:00,2019-01-08 05:00,7002.368,16.010
2019-01-08 05:00,2019-01-08 06:00,7154.194,16.844
2019-01-08 06:00,2019-01-08 07:00,7193.477,17.144
2019-01-08 07:00,2019-01-08 08:00,7095.082,16.484
2019-01-08 08:00,2019-01-08 09:00,6893.280,15.568
2019-01-08 09:00,2019-01-08 10:00,6717.136,14.960
2019-01-08 10:00,2019-01-08 11:00,6675.549,14.844
2019-01-08 11:00,2019-01-08 12:00,6674.427,14.841
2019-01-08 12:00,2019-01-08 13:00,6797.802,15.230
2019-01-08 13:00,2019-01-08 14:00,6824.188,15.319
2019-01-08 14:00,2019-01-08 15:00,6658.483,14.794
2019-01-08 15:00,2019-01-08 16:00,6286.117,13.845
2019-01-08 16:00,2019-01-08 17:00,5990.476,13.227
2019-01-08 17:00,2019-01-08 18:00,6148.691,13.547
2019-01-08 18:00,2019-01-08 19:00,6230.081,13.720
2019-01-08 19:00,2019-01-08 20:00,6284.178,13.836
2019-01-08 20:00,2019-01-08 21:00,6258.092,13.782
2019-01-08 21:00,2019-01-08 22:00,6188.208,13.630
2019-01-08 22:00,2019-01-08 23:00,6145.632,13.538
2019-01-08 23:00,2019-01-09 00:00,6082.445,13.409
2019-01-09 00:00,2019-01-09 01:00,6017.015,13.279
2019-01-09 01:00,2019-01-09 02:00,6004.615,13.255
2019-01-09 02:00,2019-01-09 03:00,5898.503,13.052
2019-01-09 03:00,2019-01-09 04:00,5806.193,12.882
2019-01-09 04:00,2019-01-09 05:00,5821.815,12.900
2019-01-09 05:00,2019-01-09 06:00,5792.842,12.849
2019-01-09 06:00,2019-01-09 07:00,5675.697,12.646
2019-01-09 07:00,2019-01-09 08:00,5567.736,12.469
2019-01-09 08:00,2019-01-09 09:00,5531.331,12.399
2019-01-09 09:00,2019-01-09 10:00,5466.300,12.303
2019-01-09 10:00,2019-01-09 11:00,5438.767,12.259
2019-01-09 11:00,2019-01-09 12:00,5418.489,12.227
2019-01-09 12:00,2019-01-09 13:00,5221.428,11.916
2019-01-09 13:00,2019-01-09 14:00,4970.973,11.555
2019-01-09 14:00,2019-01-09 15:00,4652.243,11.113
2019-01-09 15:00,2019-01-09 16:00,4441.677,10.831
2019-01-09 16:00,2019-01-09 17:00,4371.634,10.746
2019-01-09 17:00,2019-01-09 18:00,4105.721,10.412
2019-01-09 18:00,2019-01-09 19:00,3707.840,9.919
2019-01-09 19:00,2019-01-09 20:00,3163.787,9.274
2019-01-09 20:00,2019-01-09 21:00,2781.557,8.810
2019-01-09 21:00,2019-01-09 22:00,2437.807,8.381
2019-01-09 22:00,2019-01-09 23:00,2021.446,7.826
2019-01-09 23:00,2019-01-10 00:00,1632.039,7.267
2019-01-10 00:00,2019-01-10 01:00,1298.539,6.725
2019-01-10 01:00,2019-01-10 02:00,1039.142,6.241
2019-01-10 02:00,2019-01-10 03:00,927.068,6.017
2019-01-10 03:00,2019-01-10 04:00,802.645,5.744
2019-01-10 04:00,2019-01-10 05:00,750.194,5.620
2019-01-10 05:00,2019-01-10 06:00,695.247,5.484
2019-01-10 06:00,2019-01-10 07:00,631.544,5.309
2019-01-10 07:00,2019-01-10 08:00,561.278,5.123
2019-01-10 08:00,2019-01-10 09:00,456.337,4.792
2019-01-10 09:00,2019-01-10 10:00,348.612,4.413
2019-01-10 10:00,2019-01-10 11:00,244.674,3.966
2019-01-10 11:00,2019-01-10 12:00,199.972,3.748
2019-01-10 12:00,2019-01-10 13:00,218.344,3.844
2019-01-10 13:00,2019-01-10 14:00,286.889,4.167
2019-01-10 14:00,2019-01-10 15:00,433.850,4.726
2019-01-10 15:00,2019-01-10 16:00,613.802,5.270
2019-01-10 16:00,2019-01-10 17:00,800.354,5.739
2019-01-10 17:00,2019-01-10 18:00,1000.247,6.166
2019-01-10 18:00,2019-01-10 19:00,1167.867,6.486
2019-01-10 19:00,2019-01-10 20:00,1218.711,6.579
2019-01-10 20:00,2019-01-10 21:00,1250.079,6.644
2019-01-10 21:00,2019-01-10 22:00,1324.550,6.774
2019-01-10 22:00,2019-01-10 23:00,1430.124,6.950
2019-01-10 23:00,2019-01-11 00:00,1559.550,7.148
2019-01-11 00:00,2019-01-11 01:00,1661.066,7.314
2019-01-11 01:00,2019-01-11 02:00,1573.557,7.176
2019-01-11 02:00,2019-01-11 03:00,1718.369,7.390
2019-01-11 03:00,2019-01-11 04:00,2103.018,7.943
2019-01-11 04:00,2019-01-11 05:00,2369.803,8.292
2019-01-11 05:00,2019-01-11 06:00,2603.677,8.586
2019-01-11 06:00,2019-01-11 07:00,2571.700,8.545
2019-01-11 07:00,2019-01-11 08:00,2361.050,8.276
2019-01-11 08:00,2019-01-11 09:00,2658.042,8.649
2019-01-11 09:00,2019-01-11 10:00,3261.522,9.391
2019-01-11 10:00,2019-01-11 11:00,3009.367,9.087
2019-01-11 11:00,2019-01-11 12:00,3202.925,9.321
2019-01-11 12:00,2019-01-11 13:00,3793.176,10.031
2019-01-11 13:00,2019-01-11 14:00,4245.720,10.582
2019-01-11 14:00,2019-01-11 15:00,4045.336,10.338
2019-01-11 15:00,2019-01-11 16:00,3953.075,10.226
2019-01-11 16:00,2019-01-11 17:00,4077.652,10.378
2019-01-11 17:00,2019-01-11 18:00,3971.543,10.249
2019-01-11 18:00,2019-01-11 19:00,4020.004,10.309
2019-01-11 19:00,2019-01-11 20:00,4101.837,10.406
2019-01-11 20:00,2019-01-11 21:00,4007.758,10.294
2019-01-11 21:00,2019-01-11 22:00,3931.355,10.190
2019-01-11 22:00,2019-01-11 23:00,3690.922,9.899
2019-01-11 23:00,2019-01-12 00:00,3427.051,9.581
2019-01-12 00:00,2019-01-12 01:00,3277.120,9.406
2019-01-12 01:00,2019-01-12 02:00,3222.480,9.344
2019-01-12 02:00,2019-01-12 03:00,3352.043,9.492
2019-01-12 03:00,2019-01-12 04:00,3462.347,9.632
2019-01-12 04:00,2019-01-12 05:00,3635.002,9.832
2019-01-12 05:00,2019-01-12 06:00,3742.643,9.968
2019-01-12 06:00,2019-01-12 07:00,3377.752,9.531
2019-01-12 07:00,2019-01-12 08:00,3427.125,9.587
2019-01-12 08:00,2019-01-12 09:00,4077.681,10.370
2019-01-12 09:00,2019-01-12 10:00,4177.446,10.504
2019-01-12 10:00,2019-01-12 11:00,3636.082,9.841
2019-01-12 11:00,2019-01-12 12:00,4496.418,10.911
2019-01-12 12:00,2019-01-12 13:00,4680.513,11.147
2019-01-12 13:00,2019-01-12 14:00,4654.647,11.115
2019-01-12 14:00,2019-01-12 15:00,4400.222,10.787
2019-01-12 15:00,2019-01-12 16:00,4277.452,10.630
2019-01-12 16:00,2019-01-12 17:00,4125.201,10.435
2019-01-12 17:00,2019-01-12 18:00,4277.348,10.626
2019-01-12 18:00,2019-01-12 19:00,4831.576,11.357
2019-01-12 19:00,2019-01-12 20:00,4948.318,11.522
2019-01-12 20:00,2019-01-12 21:00,4693.925,11.173
2019-01-12 21:00,2019-01-12 22:00,4581.659,11.023
2019-01-12 22:00,2019-01-12 23:00,4402.099,10.789
2019-01-12 23:00,2019-01-13 00:00,4232.187,10.572
2019-01-13 00:00,2019-01-13 01:00,4058.327,10.348
2019-01-13 01:00,2019-01-13 02:00,3635.487,9.841
2019-01-13 02:00,2019-01-13 03:00,3334.619,9.479
2019-01-13 03:00,2019-01-13 04:00,3239.331,9.365
2019-01-13 04:00,2019-01-13 05:00,3069.279,9.155
2019-01-13 05:00,2019-01-13 06:00,2970.145,9.039
2019-01-13 06:00,2019-01-13 07:00,3187.042,9.302
2019-01-13 07:00,2019-01-13 08:00,3745.967,9.974
2019-01-13 08:00,2019-01-13 09:00,4189.736,10.520
2019-01-13 09:00,2019-01-13 10:00,4421.650,10.814
2019-01-13 10:00,2019-01-13 11:00,5240.079,11.948
2019-01-13 11:00,2019-01-13 12:00,5119.586,11.765
2019-01-13 12:00,2019-01-13 13:00,5076.639,11.707
2019-01-13 13:00,2019-01-13 14:00,5501.335,12.357
2019-01-13 14:00,2019-01-13 15:00,5918.716,13.090
2019-01-13 15:00,2019-01-13 16:00,6267.565,13.803
2019-01-13 16:00,2019-01-13 17:00,6519.697,14.407
2019-01-13 17:00,2019-01-13 18:00,6553.122,14.499
2019-01-13 18:00,2019-01-13 19:00,6597.052,14.619
2019-01-13 19:00,2019-01-13 20:00,6639.509,14.739
2019-01-13 20:00,2019-01-13 21:00,6571.674,14.549
2019-01-13 21:00,2019-01-13 22:00,6489.662,14.326
2019-01-13 22:00,2019-01-13 23:00,6362.825,14.021
2019-01-13 23:00,2019-01-14 00:00,6156.358,13.563
2019-01-14 00:00,2019-01-14 01:00,5902.190,13.059
2019-01-14 01:00,2019-01-14 02:00,5714.097,12.719
2019-01-14 02:00,2019-01-14 03:00,5654.976,12.617
2019-01-14 03:00,2019-01-14 04:00,5629.566,12.572
2019-01-14 04:00,2019-01-14 05:00,5691.816,12.679
2019-01-14 05:00,2019-01-14 06:00,5751.578,12.785
2019-01-14 06:00,2019-01-14 07:00,5808.239,12.886
2019-01-14 07:00,2019-01-14 08:00,5864.008,12.984
2019-01-14 08:00,2019-01-14 09:00,5691.869,12.678
2019-01-14 09:00,2019-01-14 10:00,5433.277,12.250
2019-01-14 10:00,2019-01-14 11:00,5438.183,12.258
2019-01-14 11:00,2019-01-14 12:00,5531.938,12.405
2019-01-14 12:00,2019-01-14 13:00,5456.302,12.287
2019-01-14 13:00,2019-01-14 14:00,5414.169,12.220
2019-01-14 14:00,2019-01-14 15:00,5224.818,11.918
2019-01-14 15:00,2019-01-14 16:00,5025.166,11.633
2019-01-14 16:00,2019-01-14 17:00,4759.619,11.256
2019-01-14 17:00,2019-01-14 18:00,4601.026,11.049
2019-01-14 18:00,2019-01-14 19:00,4478.166,10.884
2019-01-14 19:00,2019-01-14 20:00,4321.761,10.686
2019-01-14 20:00,2019-01-14 21:00,3977.663,10.257
2019-01-14 21:00,2019-01-14 22:00,3676.481,9.890
2019-01-14 22:00,2019-01-14 23:00,3571.210,9.763
2019-01-14 23:00,2019-01-15 00:00,3513.061,9.687
2019-01-15 00:00,2019-01-15 01:00,3915.210,10.176
2019-01-15 01:00,2019-01-15 02:00,4509.384,10.928
2019-01-15 02:00,2019-01-15 03:00,4543.010,10.972
2019-01-15 03:00,2019-01-15 04:00,4342.213,10.712
2019-01-15 04:00,2019-01-15 05:00,4149.633,10.470
2019-01-15 05:00,2019-01-15 06:00,4023.795,10.313
2019-01-15 06:00,2019-01-15 07:00,3902.762,10.162
2019-01-15 07:00,2019-01-15 08:00,3356.710,9.503
2019-01-15 08:00,2019-01-15 09:00,3443.541,9.610
