# Renewables.ninja Wind (Point API) - 54.750, -1.300 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/London, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "54.75", "lon": "-1.3", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7500", "height": "135", "turbine": "Enercon E126 7500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 00:00,6047.703,13.337
2019-01-01 01:00,2019-01-01 01:00,5786.089,12.843
2019-01-01 02:00,2019-01-01 02:00,5646.622,12.596
2019-01-01 03:00,2019-01-01 03:00,5494.901,12.345
2019-01-01 04:00,2019-01-01 04:00,4751.291,11.246
2019-01-01 05:00,2019-01-01 05:00,4010.598,10.297
2019-01-01 06:00,2019-01-01 06:00,3743.329,9.971
2019-01-01 07:00,2019-01-01 07:00,3674.474,9.888
2019-01-01 08:00,2019-01-01 08:00,3635.056,9.839
2019-01-01 09:00,2019-01-01 09:00,3391.042,9.547
2019-01-01 10:00,2019-01-01 10:00,2781.400,8.804
2019-01-01 11:00,2019-01-01 11:00,2603.212,8.580
2019-01-01 12:00,2019-01-01 12:00,2950.012,9.008
2019-01-01 13:00,2019-01-01 13:00,3564.576,9.755
2019-01-01 14:00,2019-01-01 14:00,4330.270,10.697
2019-01-01 15:00,2019-01-01 15:00,4762.985,11.258
2019-01-01 16:00,2019-01-01 16:00,4797.074,11.313
2019-01-01 17:00,2019-01-01 17:00,4845.045,11.379
2019-01-01 18:00,2019-01-01 18:00,4690.891,11.168
2019-01-01 19:00,2019-01-01 19:00,4427.372,10.821
2019-01-01 20:00,2019-01-01 20:00,4138.301,10.455
2019-01-01 21:00,2019-01-01 21:00,3980.586,10.260
2019-01-01 22:00,2019-01-01 22:00,4007.545,10.293
2019-01-01 23:00,2019-01-01 23:00,3793.081,10.031
2019-01-02 00:00,2019-01-02 00:00,3438.467,9.604
2019-01-02 01:00,2019-01-02 01:00,3024.942,9.106
2019-01-02 02:00,2019-01-02 02:00,2692.048,8.691
2019-01-02 03:00,2019-01-02 03:00,2476.516,8.428
2019-01-02 04:00,2019-01-02 04:00,2368.338,8.291
2019-01-02 05:00,2019-01-02 05:00,2299.572,8.203
2019-01-02 06:00,2019-01-02 06:00,2213.419,8.087
2019-01-02 07:00,2019-01-02 07:00,2083.949,7.913
2019-01-02 08:00,2019-01-02 08:00,1930.046,7.705
2019-01-02 09:00,2019-01-02 09:00,1632.063,7.267
2019-01-02 10:00,2019-01-02 10:00,1190.789,6.537
2019-01-02 11:00,2019-01-02 11:00,936.342,6.032
2019-01-02 12:00,2019-01-02 12:00,845.354,5.842
2019-01-02 13:00,2019-01-02 13:00,831.123,5.803
2019-01-02 14:00,2019-01-02 14:00,913.839,5.992
2019-01-02 15:00,2019-01-02 15:00,960.423,6.087
2019-01-02 16:00,2019-01-02 16:00,889.342,5.939
2019-01-02 17:00,2019-01-02 17:00,747.074,5.613
2019-01-02 18:00,2019-01-02 18:00,635.785,5.328
2019-01-02 19:00,2019-01-02 19:00,607.753,5.254
2019-01-02 20:00,2019-01-02 20:00,597.482,5.226
2019-01-02 21:00,2019-01-02 21:00,623.511,5.288
2019-01-02 22:00,2019-01-02 22:00,691.714,5.475
2019-01-02 23:00,2019-01-02 23:00,791.380,5.709
2019-01-03 00:00,2019-01-03 00:00,855.898,5.865
2019-01-03 01:00,2019-01-03 01:00,826.779,5.790
2019-01-03 02:00,2019-01-03 02:00,717.650,5.531
2019-01-03 03:00,2019-01-03 03:00,622.901,5.286
2019-01-03 04:00,2019-01-03 04:00,546.354,5.076
2019-01-03 05:00,2019-01-03 05:00,435.246,4.731
2019-01-03 06:00,2019-01-03 06:00,302.473,4.234
2019-01-03 07:00,2019-01-03 07:00,219.258,3.849
2019-01-03 08:00,2019-01-03 08:00,209.664,3.799
2019-01-03 09:00,2019-01-03 09:00,268.399,4.085
2019-01-03 10:00,2019-01-03 10:00,312.655,4.273
2019-01-03 11:00,2019-01-03 11:00,301.368,4.229
2019-01-03 12:00,2019-01-03 12:00,296.398,4.208
2019-01-03 13:00,2019-01-03 13:00,310.730,4.268
2019-01-03 14:00,2019-01-03 14:00,353.747,4.439
2019-01-03 15:00,2019-01-03 15:00,416.858,4.659
2019-01-03 16:00,2019-01-03 16:00,522.931,5.010
2019-01-03 17:00,2019-01-03 17:00,668.107,5.415
2019-01-03 18:00,2019-01-03 18:00,743.846,5.605
2019-01-03 19:00,2019-01-03 19:00,894.893,5.946
2019-01-03 20:00,2019-01-03 20:00,1034.557,6.231
2019-01-03 21:00,2019-01-03 21:00,912.947,5.986
2019-01-03 22:00,2019-01-03 22:00,926.304,6.009
2019-01-03 23:00,2019-01-03 23:00,1246.729,6.638
2019-01-04 00:00,2019-01-04 00:00,1509.928,7.075
2019-01-04 01:00,2019-01-04 01:00,1472.329,7.010
2019-01-04 02:00,2019-01-04 02:00,1560.561,7.151
2019-01-04 03:00,2019-01-04 03:00,1881.196,7.633
2019-01-04 04:00,2019-01-04 04:00,2253.800,8.142
2019-01-04 05:00,2019-01-04 05:00,2530.718,8.489
2019-01-04 06:00,2019-01-04 06:00,2675.932,8.672
2019-01-04 07:00,2019-01-04 07:00,2771.706,8.794
2019-01-04 08:00,2019-01-04 08:00,2863.182,8.907
2019-01-04 09:00,2019-01-04 09:00,2803.213,8.828
2019-01-04 10:00,2019-01-04 10:00,2431.236,8.372
2019-01-04 11:00,2019-01-04 11:00,2382.197,8.300
2019-01-04 12:00,2019-01-04 12:00,2335.673,8.241
2019-01-04 13:00,2019-01-04 13:00,2366.675,8.281
2019-01-04 14:00,2019-01-04 14:00,2506.078,8.467
2019-01-04 15:00,2019-01-04 15:00,2642.927,8.639
2019-01-04 16:00,2019-01-04 16:00,2579.581,8.553
2019-01-04 17:00,2019-01-04 17:00,2401.697,8.325
2019-01-04 18:00,2019-01-04 18:00,2228.648,8.109
2019-01-04 19:00,2019-01-04 19:00,2141.265,7.987
2019-01-04 20:00,2019-01-04 20:00,2158.576,8.009
2019-01-04 21:00,2019-01-04 21:00,2335.877,8.247
2019-01-04 22:00,2019-01-04 22:00,2563.698,8.536
2019-01-04 23:00,2019-01-04 23:00,2781.474,8.807
2019-01-05 00:00,2019-01-05 00:00,2955.465,9.021
2019-01-05 01:00,2019-01-05 01:00,3031.468,9.114
2019-01-05 02:00,2019-01-05 02:00,3116.109,9.216
2019-01-05 03:00,2019-01-05 03:00,3137.678,9.236
2019-01-05 04:00,2019-01-05 04:00,3120.422,9.222
2019-01-05 05:00,2019-01-05 05:00,3043.882,9.129
2019-01-05 06:00,2019-01-05 06:00,2892.505,8.946
2019-01-05 07:00,2019-01-05 07:00,2692.226,8.697
2019-01-05 08:00,2019-01-05 08:00,2476.266,8.420
2019-01-05 09:00,2019-01-05 09:00,2189.451,8.049
2019-01-05 10:00,2019-01-05 10:00,1797.049,7.508
2019-01-05 11:00,2019-01-05 11:00,1704.805,7.372
2019-01-05 12:00,2019-01-05 12:00,1678.046,7.331
2019-01-05 13:00,2019-01-05 13:00,1665.400,7.320
2019-01-05 14:00,2019-01-05 14:00,1642.861,7.278
2019-01-05 15:00,2019-01-05 15:00,1752.389,7.449
2019-01-05 16:00,2019-01-05 16:00,1848.617,7.581
2019-01-05 17:00,2019-01-05 17:00,1962.288,7.747
2019-01-05 18:00,2019-01-05 18:00,2202.909,8.073
2019-01-05 19:00,2019-01-05 19:00,2421.790,8.360
2019-01-05 20:00,2019-01-05 20:00,2629.690,8.622
2019-01-05 21:00,2019-01-05 21:00,2766.397,8.791
2019-01-05 22:00,2019-01-05 22:00,2859.251,8.898
2019-01-05 23:00,2019-01-05 23:00,2807.855,8.842
