# Renewables.ninja Wind (Point API) - 54.780, 11.170 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "54.78", "lon": "11.17", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7500", "height": "135", "turbine": "Enercon E126 7500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,6874.534,15.499
2019-01-01 01:00,2019-01-01 02:00,7059.387,16.293
2019-01-01 02:00,2019-01-01 03:00,7165.732,16.922
2019-01-01 03:00,2019-01-01 04:00,7232.562,17.541
2019-01-01 04:00,2019-01-01 05:00,7234.146,17.555
2019-01-01 05:00,2019-01-01 06:00,7237.020,17.594
2019-01-01 06:00,2019-01-01 07:00,7261.926,18.069
2019-01-01 07:00,2019-01-01 08:00,7260.612,18.028
2019-01-01 08:00,2019-01-01 09:00,7266.103,18.329
2019-01-01 09:00,2019-01-01 10:00,7243.749,18.982
2019-01-01 10:00,2019-01-01 11:00,7153.052,19.730
2019-01-01 11:00,2019-01-01 12:00,6932.755,20.627
2019-01-01 12:00,2019-01-01 13:00,6593.546,21.467
2019-01-01 13:00,2019-01-01 14:00,6595.602,21.465
2019-01-01 14:00,2019-01-01 15:00,6755.280,21.114
2019-01-01 15:00,2019-01-01 16:00,6837.215,20.906
2019-01-01 16:00,2019-01-01 17:00,6981.883,20.466
2019-01-01 17:00,2019-01-01 18:00,7154.562,19.721
2019-01-01 18:00,2019-01-01 19:00,7250.824,18.874
2019-01-01 19:00,2019-01-01 20:00,7264.195,18.152
2019-01-01 20:00,2019-01-01 21:00,7229.200,17.499
2019-01-01 21:00,2019-01-01 22:00,7243.272,17.682
2019-01-01 22:00,2019-01-01 23:00,7238.896,17.616
2019-01-01 23:00,2019-01-02 00:00,7230.910,17.516
2019-01-02 00:00,2019-01-02 01:00,7253.685,17.862
2019-01-02 01:00,2019-01-02 02:00,7266.079,18.355
2019-01-02 02:00,2019-01-02 03:00,7265.727,18.428
2019-01-02 03:00,2019-01-02 04:00,7262.582,18.092
2019-01-02 04:00,2019-01-02 05:00,7262.549,18.080
2019-01-02 05:00,2019-01-02 06:00,7245.604,17.716
2019-01-02 06:00,2019-01-02 07:00,7201.214,17.215
2019-01-02 07:00,2019-01-02 08:00,7140.954,16.755
2019-01-02 08:00,2019-01-02 09:00,7013.487,16.061
2019-01-02 09:00,2019-01-02 10:00,6976.163,15.897
2019-01-02 10:00,2019-01-02 11:00,7050.865,16.249
2019-01-02 11:00,2019-01-02 12:00,7022.049,16.110
2019-01-02 12:00,2019-01-02 13:00,6905.142,15.613
2019-01-02 13:00,2019-01-02 14:00,6729.422,15.008
2019-01-02 14:00,2019-01-02 15:00,6500.521,14.354
2019-01-02 15:00,2019-01-02 16:00,6218.536,13.695
2019-01-02 16:00,2019-01-02 17:00,5742.967,12.759
2019-01-02 17:00,2019-01-02 18:00,4836.479,11.367
2019-01-02 18:00,2019-01-02 19:00,4159.621,10.481
2019-01-02 19:00,2019-01-02 20:00,3813.853,10.056
2019-01-02 20:00,2019-01-02 21:00,3592.513,9.789
2019-01-02 21:00,2019-01-02 22:00,3388.428,9.544
2019-01-02 22:00,2019-01-02 23:00,3228.823,9.352
2019-01-02 23:00,2019-01-03 00:00,3173.748,9.286
2019-01-03 00:00,2019-01-03 01:00,3184.982,9.299
2019-01-03 01:00,2019-01-03 02:00,3254.064,9.382
2019-01-03 02:00,2019-01-03 03:00,3306.156,9.437
2019-01-03 03:00,2019-01-03 04:00,3328.131,9.471
2019-01-03 04:00,2019-01-03 05:00,3359.224,9.504
2019-01-03 05:00,2019-01-03 06:00,3352.074,9.494
2019-01-03 06:00,2019-01-03 07:00,3332.086,9.476
2019-01-03 07:00,2019-01-03 08:00,3271.492,9.397
2019-01-03 08:00,2019-01-03 09:00,3113.747,9.213
2019-01-03 09:00,2019-01-03 10:00,2781.530,8.809
2019-01-03 10:00,2019-01-03 11:00,2492.073,8.441
2019-01-03 11:00,2019-01-03 12:00,2250.457,8.139
