# Renewables.ninja Wind (Point API) - 58.620, 5.840 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Oslo, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Oslo", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "58.62", "lon": "5.84", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "7500", "height": "135", "turbine": "Enercon E126 7500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2019-01-01 01:00,7260.363,18.021
2019-01-01 01:00,2019-01-01 02:00,7225.562,19.194
2019-01-01 02:00,2019-01-01 03:00,7212.097,19.318
2019-01-01 03:00,2019-01-01 04:00,7120.355,19.898
2019-01-01 04:00,2019-01-01 05:00,6918.189,20.675
2019-01-01 05:00,2019-01-01 06:00,6787.533,21.035
2019-01-01 06:00,2019-01-01 07:00,6939.148,20.603
2019-01-01 07:00,2019-01-01 08:00,7106.669,19.972
2019-01-01 08:00,2019-01-01 09:00,7178.730,19.571
2019-01-01 09:00,2019-01-01 10:00,7195.938,19.445
2019-01-01 10:00,2019-01-01 11:00,7145.195,19.775
2019-01-01 11:00,2019-01-01 12:00,7096.467,20.018
2019-01-01 12:00,2019-01-01 13:00,7134.052,19.835
2019-01-01 13:00,2019-01-01 14:00,7157.003,19.707
2019-01-01 14:00,2019-01-01 15:00,7156.752,19.709
2019-01-01 15:00,2019-01-01 16:00,7227.206,19.178
2019-01-01 16:00,2019-01-01 17:00,7263.954,18.145
2019-01-01 17:00,2019-01-01 18:00,7212.390,17.319
2019-01-01 18:00,2019-01-01 19:00,7150.139,16.821
2019-01-01 19:00,2019-01-01 20:00,7054.985,16.271
2019-01-01 20:00,2019-01-01 21:00,6976.326,15.897
2019-01-01 21:00,2019-01-01 22:00,6862.612,15.456
2019-01-01 22:00,2019-01-01 23:00,6703.291,14.919
2019-01-01 23:00,2019-01-02 00:00,6482.418,14.307
2019-01-02 00:00,2019-01-02 01:00,6202.214,13.659
2019-01-02 01:00,2019-01-02 02:00,5974.633,13.197
2019-01-02 02:00,2019-01-02 03:00,5728.607,12.737
2019-01-02 03:00,2019-01-02 04:00,5214.039,11.910
2019-01-02 04:00,2019-01-02 05:00,4491.481,10.895
2019-01-02 05:00,2019-01-02 06:00,3725.778,9.940
2019-01-02 06:00,2019-01-02 07:00,3241.909,9.368
2019-01-02 07:00,2019-01-02 08:00,3144.018,9.248
2019-01-02 08:00,2019-01-02 09:00,3181.857,9.295
2019-01-02 09:00,2019-01-02 10:00,3144.062,9.250
2019-01-02 10:00,2019-01-02 11:00,3160.943,9.270
2019-01-02 11:00,2019-01-02 12:00,3277.067,9.403
2019-01-02 12:00,2019-01-02 13:00,3310.435,9.445
2019-01-02 13:00,2019-01-02 14:00,3277.028,9.400
2019-01-02 14:00,2019-01-02 15:00,3201.555,9.319
2019-01-02 15:00,2019-01-02 16:00,2997.905,9.074
2019-01-02 16:00,2019-01-02 17:00,2805.969,8.838
2019-01-02 17:00,2019-01-02 18:00,2676.404,8.680
2019-01-02 18:00,2019-01-02 19:00,2579.597,8.554
2019-01-02 19:00,2019-01-02 20:00,2430.617,8.372
2019-01-02 20:00,2019-01-02 21:00,2278.440,8.168
2019-01-02 21:00,2019-01-02 22:00,2338.710,8.252
2019-01-02 22:00,2019-01-02 23:00,2540.933,8.506
2019-01-02 23:00,2019-01-03 00:00,2574.271,8.547
2019-01-03 00:00,2019-01-03 01:00,2531.913,8.497
2019-01-03 01:00,2019-01-03 02:00,2333.016,8.238
2019-01-03 02:00,2019-01-03 03:00,2166.561,8.024
2019-01-03 03:00,2019-01-03 04:00,2141.161,7.987
2019-01-03 04:00,2019-01-03 05:00,2145.596,7.995
2019-01-03 05:00,2019-01-03 06:00,1982.541,7.774
2019-01-03 06:00,2019-01-03 07:00,1772.101,7.479
2019-01-03 07:00,2019-01-03 08:00,1618.740,7.241
2019-01-03 08:00,2019-01-03 09:00,1554.188,7.140
2019-01-03 09:00,2019-01-03 10:00,1363.284,6.833
2019-01-03 10:00,2019-01-03 11:00,1195.359,6.546
2019-01-03 11:00,2019-01-03 12:00,1418.571,6.931
2019-01-03 12:00,2019-01-03 13:00,2098.512,7.936
2019-01-03 13:00,2019-01-03 14:00,1818.751,7.547
2019-01-03 14:00,2019-01-03 15:00,1918.841,7.689
2019-01-03 15:00,2019-01-03 16:00,2281.881,8.174
2019-01-03 16:00,2019-01-03 17:00,2583.585,8.562
2019-01-03 17:00,2019-01-03 18:00,2792.024,8.821
2019-01-03 18:00,2019-01-03 19:00,2819.080,8.856
2019-01-03 19:00,2019-01-03 20:00,2832.563,8.872
2019-01-03 20:00,2019-01-03 21:00,2936.973,8.990
2019-01-03 21:00,2019-01-03 22:00,3069.350,9.158
2019-01-03 22:00,2019-01-03 23:00,3297.871,9.432
2019-01-03 23:00,2019-01-04 00:00,3374.774,9.527
2019-01-04 00:00,2019-01-04 01:00,3380.183,9.534
2019-01-04 01:00,2019-01-04 02:00,3437.763,9.603
2019-01-04 02:00,2019-01-04 03:00,3581.837,9.776
2019-01-04 03:00,2019-01-04 04:00,3598.890,9.796
2019-01-04 04:00,2019-01-04 05:00,3697.584,9.913
2019-01-04 05:00,2019-01-04 06:00,3855.761,10.099
2019-01-04 06:00,2019-01-04 07:00,4153.347,10.474
2019-01-04 07:00,2019-01-04 08:00,4684.799,11.150
2019-01-04 08:00,2019-01-04 09:00,4758.586,11.255
2019-01-04 09:00,2019-01-04 10:00,5058.071,11.672
2019-01-04 10:00,2019-01-04 11:00,5388.974,12.177
2019-01-04 11:00,2019-01-04 12:00,5527.322,12.396
2019-01-04 12:00,2019-01-04 13:00,5595.440,12.508
2019-01-04 13:00,2019-01-04 14:00,5568.656,12.471
2019-01-04 14:00,2019-01-04 15:00,5544.154,12.423
2019-01-04 15:00,2019-01-04 16:00,5547.812,12.436
2019-01-04 16:00,2019-01-04 17:00,5598.191,12.514
2019-01-04 17:00,2019-01-04 18:00,5743.485,12.764
2019-01-04 18:00,2019-01-04 19:00,5799.422,12.870
2019-01-04 19:00,2019-01-04 20:00,5807.840,12.885
2019-01-04 20:00,2019-01-04 21:00,5794.594,12.861
2019-01-04 21:00,2019-01-04 22:00,5878.585,13.007
2019-01-04 22:00,2019-01-04 23:00,5923.073,13.098
2019-01-04 23:00,2019-01-05 00:00,5918.009,13.079
2019-01-05 00:00,2019-01-05 01:00,5871.450,13.001
2019-01-05 01:00,2019-01-05 02:00,5771.021,12.819
2019-01-05 02:00,2019-01-05 03:00,5518.584,12.388
2019-01-05 03:00,2019-01-05 04:00,5250.010,11.965
2019-01-05 04:00,2019-01-05 05:00,4829.103,11.348
2019-01-05 05:00,2019-01-05 06:00,4579.418,11.019
2019-01-05 06:00,2019-01-05 07:00,4174.017,10.497
2019-01-05 07:00,2019-01-05 08:00,3947.872,10.210
2019-01-05 08:00,2019-01-05 09:00,3603.728,9.802
2019-01-05 09:00,2019-01-05 10:00,3384.476,9.539
2019-01-05 10:00,2019-01-05 11:00,3143.074,9.240
2019-01-05 11:00,2019-01-05 12:00,2805.949,8.837
2019-01-05 12:00,2019-01-05 13:00,2709.399,8.721
2019-01-05 13:00,2019-01-05 14:00,2669.084,8.666
2019-01-05 14:00,2019-01-05 15:00,2494.578,8.453
2019-01-05 15:00,2019-01-05 16:00,2460.769,8.408
2019-01-05 16:00,2019-01-05 17:00,2399.565,8.322
2019-01-05 17:00,2019-01-05 18:00,2351.228,8.263
2019-01-05 18:00,2019-01-05 19:00,2228.378,8.101
2019-01-05 19:00,2019-01-05 20:00,2119.605,7.965
2019-01-05 20:00,2019-01-05 21:00,2060.441,7.885
2019-01-05 21:00,2019-01-05 22:00,2056.745,7.877
2019-01-05 22:00,2019-01-05 23:00,2059.667,7.884
2019-01-05 23:00,2019-01-06 00:00,2027.469,7.837
2019-01-06 00:00,2019-01-06 01:00,2055.799,7.870
2019-01-06 01:00,2019-01-06 02:00,2127.734,7.976
2019-01-06 02:00,2019-01-06 03:00,1954.989,7.735
2019-01-06 03:00,2019-01-06 04:00,1962.373,7.749
2019-01-06 04:00,2019-01-06 05:00,2086.908,7.916
2019-01-06 05:00,2019-01-06 06:00,2476.328,8.422
2019-01-06 06:00,2019-01-06 07:00,2492.376,8.450
2019-01-06 07:00,2019-01-06 08:00,2448.923,8.392
2019-01-06 08:00,2019-01-06 09:00,2397.918,8.320
2019-01-06 09:00,2019-01-06 10:00,2245.693,8.132
2019-01-06 10:00,2019-01-06 11:00,1935.575,7.713
2019-01-06 11:00,2019-01-06 12:00,1618.981,7.247
2019-01-06 12:00,2019-01-06 13:00,1388.132,6.881
2019-01-06 13:00,2019-01-06 14:00,1189.823,6.536
2019-01-06 14:00,2019-01-06 15:00,1354.709,6.823
2019-01-06 15:00,2019-01-06 16:00,1497.662,7.060
2019-01-06 16:00,2019-01-06 17:00,1901.640,7.655
2019-01-06 17:00,2019-01-06 18:00,2460.678,8.405
2019-01-06 18:00,2019-01-06 19:00,2520.469,8.483
